id,itmsNm,clpr,hipr,lopr,vs,basDt,mkp,mrktTotAmt,lstgStCnt,trqu
1,BYC,36950,38250,36800,-1250,2024-05-21,38250,230795242500,6246150,4126
2,BYC,38200,38300,38100,-100,2024-05-20,38200,238602930000,6246150,623
3,BYC,38300,39250,38250,-850,2024-05-17,39250,239227545000,6246150,988
4,BYC,39150,39650,38700,300,2024-05-16,39650,244536772500,6246150,784
5,BYC,38850,39150,38500,250,2024-05-14,39100,242662927500,6246150,367
6,BYC,38600,39300,38550,-250,2024-05-13,38900,241101390000,6246150,899
7,BYC,38850,39450,38300,200,2024-05-10,39450,242662927500,6246150,854
8,BYC,38650,39700,38600,-350,2024-05-09,39700,241413697500,6246150,827
9,BYC,39000,39200,38500,100,2024-05-08,38950,243599850000,6246150,580
10,BYC,38900,39350,38500,0,2024-05-07,38900,242975235000,6246150,1499
11,BYC,38900,39450,38400,100,2024-05-03,39050,242975235000,6246150,792
12,BYC,38800,39650,38600,-200,2024-05-02,39600,242350620000,6246150,1039
13,BYC,39000,39300,38350,750,2024-04-30,38350,243599850000,6246150,1523
14,BYC,38250,38600,37300,250,2024-04-29,38100,238915237500,6246150,1681
15,BYC,38000,39050,37200,-750,2024-04-26,38750,237353700000,6246150,1829
16,BYC,38750,39000,38450,-50,2024-04-25,38800,242038312500,6246150,1756
17,BYC,38800,39850,38600,-350,2024-04-24,39150,242350620000,6246150,2509
18,BYC,39150,39650,38700,-300,2024-04-23,39650,244536772500,6246150,2604
19,BYC,39450,40200,38600,750,2024-04-22,38700,246410617500,6246150,4293
20,BYC,38700,41150,38500,-2050,2024-04-19,41150,241726005000,6246150,10432
21,BYC,40750,43200,40450,-1650,2024-04-18,42150,254530612500,6246150,9078
22,BYC,42400,47200,42050,-6550,2024-04-17,46250,264836760000,6246150,19375
23,BYC,489500,0,0,0,2024-04-16,0,305749042500,624615,0
24,BYC,489500,0,0,0,2024-04-15,0,305749042500,624615,0
