id,itmsNm,clpr,hipr,lopr,vs,basDt,mkp,mrktTotAmt,lstgStCnt,trqu
1,BYC우,15400,15420,15140,-20,2024-05-21,15350,33169290000,2153850,3030
2,BYC우,15420,15450,15350,60,2024-05-20,15450,33212367000,2153850,676
3,BYC우,15360,15370,15360,-10,2024-05-17,15370,33083136000,2153850,634
4,BYC우,15370,15430,15340,-40,2024-05-16,15410,33104674500,2153850,413
5,BYC우,15410,15600,15410,-70,2024-05-14,15490,33190828500,2153850,611
6,BYC우,15480,15650,15250,-20,2024-05-13,15650,33341598000,2153850,1040
7,BYC우,15500,15500,15100,340,2024-05-10,15160,33384675000,2153850,4917
8,BYC우,15160,15220,15160,-40,2024-05-09,15200,32652366000,2153850,4041
9,BYC우,15200,15380,15200,-10,2024-05-08,15310,32738520000,2153850,2768
10,BYC우,15210,15360,15200,-170,2024-05-07,15320,32760058500,2153850,7156
11,BYC우,15380,15450,15340,-60,2024-05-03,15440,33126213000,2153850,2669
12,BYC우,15440,15440,15350,0,2024-05-02,15360,33255444000,2153850,2795
13,BYC우,15440,15490,15350,-60,2024-04-30,15400,33255444000,2153850,5933
14,BYC우,15500,15890,15490,-220,2024-04-29,15890,33384675000,2153850,4213
15,BYC우,15720,15950,15530,0,2024-04-26,15850,33858522000,2153850,1325
16,BYC우,15720,15790,15720,-280,2024-04-25,15790,33858522000,2153850,6369
17,BYC우,16000,16050,15950,-30,2024-04-24,16050,34461600000,2153850,3575
18,BYC우,16030,16390,16030,-320,2024-04-23,16350,34526215500,2153850,4768
19,BYC우,16350,16350,15850,550,2024-04-22,15850,35215447500,2153850,1982
20,BYC우,15800,16390,15750,-640,2024-04-19,16390,34030830000,2153850,5648
21,BYC우,16440,17210,16440,-660,2024-04-18,17100,35409294000,2153850,7426
22,BYC우,17100,19100,16920,-2790,2024-04-17,19100,36830835000,2153850,33674
23,BYC우,198900,0,0,0,2024-04-16,0,42840076500,215385,0
24,BYC우,198900,0,0,0,2024-04-15,0,42840076500,215385,0
