id,itmsNm,clpr,hipr,lopr,vs,basDt,mkp,mrktTotAmt,lstgStCnt,trqu
1,CJ4우(전환),94000,95300,92700,-1300,2024-05-21,95300,397292128000,4226512,9285
2,CJ4우(전환),95300,97000,93800,-700,2024-05-20,96900,402786593600,4226512,13517
3,CJ4우(전환),96000,104100,96000,-8200,2024-05-17,104100,405745152000,4226512,27086
4,CJ4우(전환),104200,104400,100200,1300,2024-05-16,102600,440402550400,4226512,15665
5,CJ4우(전환),102900,104200,101500,-1500,2024-05-14,104200,434908084800,4226512,14583
6,CJ4우(전환),104400,104400,99600,4200,2024-05-13,99600,441247852800,4226512,20690
7,CJ4우(전환),100200,100200,92200,8000,2024-05-10,92200,423496502400,4226512,39323
8,CJ4우(전환),92200,93000,90400,300,2024-05-09,91800,389684406400,4226512,14683
9,CJ4우(전환),91900,93600,90500,1200,2024-05-08,90500,388416452800,4226512,23577
10,CJ4우(전환),90700,90900,88000,2900,2024-05-07,88000,383344638400,4226512,23794
11,CJ4우(전환),87800,89600,87200,-1800,2024-05-03,89600,371087753600,4226512,9793
12,CJ4우(전환),89600,90000,87600,600,2024-05-02,88800,378695475200,4226512,15545
13,CJ4우(전환),89000,89900,88000,0,2024-04-30,88800,376159568000,4226512,12461
14,CJ4우(전환),89000,90000,86100,3300,2024-04-29,86100,376159568000,4226512,15966
15,CJ4우(전환),85700,86100,84800,-100,2024-04-26,85300,362212078400,4226512,3189
16,CJ4우(전환),85800,86100,84800,-300,2024-04-25,85900,362634729600,4226512,3088
17,CJ4우(전환),86100,86900,84600,300,2024-04-24,86000,363902683200,4226512,4959
18,CJ4우(전환),85800,86000,84200,300,2024-04-23,85500,362634729600,4226512,5308
19,CJ4우(전환),85500,85500,80200,4300,2024-04-22,80200,361366776000,4226512,16103
20,CJ4우(전환),81200,82000,78900,-1300,2024-04-19,82000,343192774400,4226512,10189
21,CJ4우(전환),82500,83400,78300,4300,2024-04-18,78400,348687240000,4226512,18254
22,CJ4우(전환),78200,79200,77500,200,2024-04-17,78000,330513238400,4226512,6202
23,CJ4우(전환),78000,78300,77000,-1000,2024-04-16,78000,329667936000,4226512,12811
24,CJ4우(전환),79000,79300,76400,1000,2024-04-15,77800,333894448000,4226512,9784
