id,itmsNm,clpr,hipr,lopr,vs,basDt,mkp,mrktTotAmt,lstgStCnt,trqu
1,CJ,136000,137700,134300,-2900,2024-05-21,137600,3968071728000,29176998,244456
2,CJ,138900,143300,135800,-3100,2024-05-20,142400,4052685022200,29176998,290365
3,CJ,142000,150500,138000,-10700,2024-05-17,150000,4143133716000,29176998,427308
4,CJ,152700,152900,146800,3400,2024-05-16,149300,4455327594600,29176998,167202
5,CJ,149300,150500,146400,-1200,2024-05-14,150500,4356125801400,29176998,162000
6,CJ,150500,151500,143500,5000,2024-05-13,145600,4391138199000,29176998,260324
7,CJ,145500,147500,133300,12700,2024-05-10,135000,4245253209000,29176998,376365
8,CJ,132800,136000,130000,-600,2024-05-09,133500,3874705334400,29176998,181243
9,CJ,133400,140600,131400,2100,2024-05-08,131400,3892211533200,29176998,249879
10,CJ,131300,133900,128000,4000,2024-05-07,130000,3830939837400,29176998,176602
11,CJ,127300,130300,125500,-2200,2024-05-03,130300,3714231845400,29176998,127296
12,CJ,129500,131100,126600,1800,2024-05-02,126900,3778421241000,29176998,167573
13,CJ,127700,131300,126500,0,2024-04-30,127800,3725902644600,29176998,156613
14,CJ,127700,131500,123200,5700,2024-04-29,123300,3725902644600,29176998,198758
15,CJ,122000,124800,121500,-500,2024-04-26,123700,3559593756000,29176998,61843
16,CJ,122500,124800,120800,-1000,2024-04-25,122300,3574182255000,29176998,96262
17,CJ,123500,128100,122100,-1400,2024-04-24,124700,3603359253000,29176998,125145
18,CJ,124900,125400,120600,2400,2024-04-23,122600,3644207050200,29176998,170221
19,CJ,122500,125900,116500,6400,2024-04-22,117900,3574182255000,29176998,306840
20,CJ,116100,119300,113300,-3900,2024-04-19,118500,3387449467800,29176998,236773
21,CJ,120000,122300,115000,5100,2024-04-18,116100,3501239760000,29176998,163733
22,CJ,114900,119400,114700,0,2024-04-17,116800,3352437070200,29176998,123009
23,CJ,114900,116400,112800,-2000,2024-04-16,115500,3352437070200,29176998,155751
24,CJ,116900,119100,111000,1400,2024-04-15,115100,3410791066200,29176998,185553
