id,itmsNm,clpr,hipr,lopr,vs,basDt,mkp,mrktTotAmt,lstgStCnt,trqu
1,CJ대한통운,111400,113200,110700,-1500,2024-05-21,112900,2541295121600,22812344,98299
2,CJ대한통운,112900,117600,112600,-100,2024-05-20,115000,2575513637600,22812344,72180
3,CJ대한통운,113000,114000,111700,-1600,2024-05-17,111700,2577794872000,22812344,82545
4,CJ대한통운,114600,115500,113300,600,2024-05-16,114600,2614294622400,22812344,74760
5,CJ대한통운,114000,118300,111400,-3800,2024-05-14,117700,2600607216000,22812344,240499
6,CJ대한통운,117800,121600,115500,-1600,2024-05-13,119400,2687294123200,22812344,148956
7,CJ대한통운,119400,126700,119000,-3500,2024-05-10,124200,2723793873600,22812344,126970
8,CJ대한통운,122900,131000,121700,-7000,2024-05-09,130000,2803637077600,22812344,136675
9,CJ대한통운,129900,129900,120000,9100,2024-05-08,121600,2963323485600,22812344,139408
10,CJ대한통운,120800,124000,119200,-1000,2024-05-07,122900,2755731155200,22812344,50917
11,CJ대한통운,121800,122000,119600,1200,2024-05-03,121900,2778543499200,22812344,38494
12,CJ대한통운,120600,124400,119600,-2000,2024-05-02,121900,2751168686400,22812344,52564
13,CJ대한통운,122600,124200,122000,-1600,2024-04-30,123100,2796793374400,22812344,64460
14,CJ대한통운,124200,127500,123800,-900,2024-04-29,126300,2833293124800,22812344,49167
15,CJ대한통운,125100,128200,124800,-2100,2024-04-26,127200,2853824234400,22812344,44598
16,CJ대한통운,127200,129500,123100,2200,2024-04-25,123100,2901730156800,22812344,69035
17,CJ대한통운,125000,126200,122900,-100,2024-04-24,126200,2851543000000,22812344,72162
18,CJ대한통운,125100,125100,120400,1600,2024-04-23,123500,2853824234400,22812344,51720
19,CJ대한통운,123500,124300,119200,5100,2024-04-22,120800,2817324484000,22812344,57537
20,CJ대한통운,118400,121700,117600,-4600,2024-04-19,120700,2700981529600,22812344,70141
21,CJ대한통운,123000,123200,116000,7000,2024-04-18,116800,2805918312000,22812344,172346
22,CJ대한통운,116000,116200,113600,2200,2024-04-17,113900,2646231904000,22812344,69842
23,CJ대한통운,113800,119300,112600,-5600,2024-04-16,118300,2596044747200,22812344,85509
24,CJ대한통운,119400,120300,116600,1200,2024-04-15,118500,2723793873600,22812344,62428
