id,itmsNm,clpr,hipr,lopr,vs,basDt,mkp,mrktTotAmt,lstgStCnt,trqu
1,CJ우,63100,64300,62600,-1100,2024-05-21,64300,142620071300,2260223,1455
2,CJ우,64200,64700,63000,-100,2024-05-20,64400,145106316600,2260223,3782
3,CJ우,64300,66500,63500,-2500,2024-05-17,66400,145332338900,2260223,4695
4,CJ우,66800,66800,64700,1200,2024-05-16,66000,150982896400,2260223,7958
5,CJ우,65600,66400,64400,-600,2024-05-14,66200,148270628800,2260223,6828
6,CJ우,66200,66200,63100,2600,2024-05-13,63600,149626762600,2260223,11754
7,CJ우,63600,64000,61000,2700,2024-05-10,61000,143750182800,2260223,18131
8,CJ우,60900,61000,60400,0,2024-05-09,61000,137647580700,2260223,912
9,CJ우,60900,62200,60400,400,2024-05-08,60500,137647580700,2260223,5052
10,CJ우,60500,61000,60100,600,2024-05-07,60500,136743491500,2260223,4328
11,CJ우,59900,60500,59700,-400,2024-05-03,60300,135387357700,2260223,2019
12,CJ우,60300,61000,60000,-200,2024-05-02,60000,136291446900,2260223,1248
13,CJ우,60500,61800,60200,-300,2024-04-30,61800,136743491500,2260223,3443
14,CJ우,60800,61700,59500,1500,2024-04-29,59500,137421558400,2260223,4964
15,CJ우,59300,59600,59000,300,2024-04-26,59500,134031223900,2260223,1320
16,CJ우,59000,59500,58700,-300,2024-04-25,59300,133353157000,2260223,830
17,CJ우,59300,59700,59000,200,2024-04-24,59000,134031223900,2260223,1675
18,CJ우,59100,59300,58500,400,2024-04-23,58600,133579179300,2260223,2057
19,CJ우,58700,59100,57300,1500,2024-04-22,57900,132675090100,2260223,2096
20,CJ우,57200,58400,57000,-800,2024-04-19,58400,129284755600,2260223,1398
21,CJ우,58000,58100,57100,1100,2024-04-18,57100,131092934000,2260223,826
22,CJ우,56900,57300,55900,100,2024-04-17,57300,128606688700,2260223,2289
23,CJ우,56800,58200,56500,-1100,2024-04-16,58200,128380666400,2260223,2761
24,CJ우,57900,57900,56600,300,2024-04-15,57600,130866911700,2260223,2099
