id,itmsNm,clpr,hipr,lopr,vs,basDt,mkp,mrktTotAmt,lstgStCnt,trqu
1,CR홀딩스,6190,6260,6150,-20,2024-05-21,6210,290252133100,46890490,19678
2,CR홀딩스,6210,6240,6190,-20,2024-05-20,6190,291189942900,46890490,18747
3,CR홀딩스,6230,6300,6170,-30,2024-05-17,6300,292127752700,46890490,27463
4,CR홀딩스,6260,6340,6210,50,2024-05-16,6210,293534467400,46890490,48763
5,CR홀딩스,6210,6400,6120,60,2024-05-14,6120,291189942900,46890490,59590
6,CR홀딩스,6150,6190,6100,-50,2024-05-13,6150,288376513500,46890490,29519
7,CR홀딩스,6200,6260,6150,-20,2024-05-10,6220,290721038000,46890490,41635
8,CR홀딩스,6220,6380,6130,-30,2024-05-09,6190,291658847800,46890490,160349
9,CR홀딩스,6250,6550,6020,240,2024-05-08,6020,293065562500,46890490,616030
10,CR홀딩스,6010,6090,5950,-60,2024-05-07,6070,281811844900,46890490,29947
11,CR홀딩스,6070,6080,5980,-10,2024-05-03,6080,284625274300,46890490,19338
12,CR홀딩스,6080,6110,6010,10,2024-05-02,6070,285094179200,46890490,12896
13,CR홀딩스,6070,6140,6040,10,2024-04-30,6050,284625274300,46890490,12913
14,CR홀딩스,6060,6120,6030,10,2024-04-29,6050,284156369400,46890490,16192
15,CR홀딩스,6050,6060,5980,20,2024-04-26,6030,283687464500,46890490,20147
16,CR홀딩스,6030,6300,6010,-150,2024-04-25,6170,282749654700,46890490,37576
17,CR홀딩스,6180,6260,5810,380,2024-04-24,5820,289783228200,46890490,105373
18,CR홀딩스,5800,5860,5730,70,2024-04-23,5730,271964842000,46890490,14810
19,CR홀딩스,5730,5780,5690,10,2024-04-22,5720,268682507700,46890490,22636
20,CR홀딩스,5720,5750,5590,0,2024-04-19,5720,268213602800,46890490,35739
21,CR홀딩스,5720,5750,5660,10,2024-04-18,5710,268213602800,46890490,22893
22,CR홀딩스,5710,5770,5660,-40,2024-04-17,5700,267744697900,46890490,30527
23,CR홀딩스,5750,5790,5650,-60,2024-04-16,5720,269620317500,46890490,29310
24,CR홀딩스,5810,5820,5600,50,2024-04-15,5760,272433746900,46890490,18657
