id,itmsNm,clpr,hipr,lopr,vs,basDt,mkp,mrktTotAmt,lstgStCnt,trqu
1,CS홀딩스,66700,66900,65500,0,2024-05-21,66700,77003949400,1154482,3226
2,CS홀딩스,66700,67800,66600,-900,2024-05-20,67600,77003949400,1154482,1011
3,CS홀딩스,67600,68300,67500,0,2024-05-17,67600,78042983200,1154482,949
4,CS홀딩스,67600,67600,66600,900,2024-05-16,66700,78042983200,1154482,568
5,CS홀딩스,66700,66700,66200,500,2024-05-14,66300,77003949400,1154482,512
6,CS홀딩스,66200,66200,65900,300,2024-05-13,65900,76426708400,1154482,276
7,CS홀딩스,65900,66300,65900,-300,2024-05-10,65900,76080363800,1154482,448
8,CS홀딩스,66200,66200,65900,0,2024-05-09,66200,76426708400,1154482,520
9,CS홀딩스,66200,66200,65600,300,2024-05-08,65700,76426708400,1154482,591
10,CS홀딩스,65900,66000,65600,0,2024-05-07,65900,76080363800,1154482,426
11,CS홀딩스,65900,66000,65300,400,2024-05-03,65300,76080363800,1154482,307
12,CS홀딩스,65500,65600,65200,-100,2024-05-02,65200,75618571000,1154482,262
13,CS홀딩스,65600,65600,65100,100,2024-04-30,65300,75734019200,1154482,341
14,CS홀딩스,65500,65600,65100,300,2024-04-29,65200,75618571000,1154482,452
15,CS홀딩스,65200,65200,64600,200,2024-04-26,64900,75272226400,1154482,386
16,CS홀딩스,65000,65700,64000,100,2024-04-25,64900,75041330000,1154482,1226
17,CS홀딩스,64900,65000,63900,900,2024-04-24,63900,74925881800,1154482,868
18,CS홀딩스,64000,64000,63300,300,2024-04-23,63700,73886848000,1154482,860
19,CS홀딩스,63700,63800,62900,600,2024-04-22,63200,73540503400,1154482,447
20,CS홀딩스,63100,63700,62600,-600,2024-04-19,63500,72847814200,1154482,701
21,CS홀딩스,63700,64000,62100,1700,2024-04-18,62600,73540503400,1154482,1564
22,CS홀딩스,62000,64800,62000,-1700,2024-04-17,63500,71577884000,1154482,2090
23,CS홀딩스,63700,64300,62600,-1000,2024-04-16,64300,73540503400,1154482,1290
24,CS홀딩스,64700,65000,64300,-500,2024-04-15,64600,74694985400,1154482,852
