id,itmsNm,clpr,hipr,lopr,vs,basDt,mkp,mrktTotAmt,lstgStCnt,trqu
1,DB하이텍,41850,42200,41600,-50,2024-05-21,41800,1858080907800,44398588,176589
2,DB하이텍,41900,42450,41500,-350,2024-05-20,42350,1860300837200,44398588,140320
3,DB하이텍,42250,43000,42250,-900,2024-05-17,43000,1875840343000,44398588,155697
4,DB하이텍,43150,44050,43050,350,2024-05-16,43600,1915799072200,44398588,187814
5,DB하이텍,42800,43250,42500,-100,2024-05-14,42500,1900259566400,44398588,150823
6,DB하이텍,42900,43800,42750,-200,2024-05-13,43600,1904699425200,44398588,184727
7,DB하이텍,43100,44150,43000,-250,2024-05-10,43800,1913579142800,44398588,214410
8,DB하이텍,43350,44500,43150,-1100,2024-05-09,44500,1924678789800,44398588,265917
9,DB하이텍,44450,44700,43300,1650,2024-05-08,43700,1973517236600,44398588,455288
10,DB하이텍,42800,43500,42450,-200,2024-05-07,43400,1900259566400,44398588,287596
11,DB하이텍,43000,43200,42400,350,2024-05-03,42700,1909139284000,44398588,149046
12,DB하이텍,42650,42750,41000,1250,2024-05-02,41450,1893599778200,44398588,284367
13,DB하이텍,41400,41900,41200,-150,2024-04-30,41600,1838101543200,44398588,183391
14,DB하이텍,41550,42150,41050,-50,2024-04-29,41900,1844761331400,44398588,209013
15,DB하이텍,41600,41800,40050,1550,2024-04-26,40450,1846981260800,44398588,337756
16,DB하이텍,40050,40750,40050,-800,2024-04-25,40450,1778163449400,44398588,232148
17,DB하이텍,40850,41550,40850,350,2024-04-24,40950,1813682319800,44398588,243208
18,DB하이텍,40500,41350,40400,-450,2024-04-23,41100,1798142814000,44398588,145860
19,DB하이텍,40950,41150,40400,-150,2024-04-22,41100,1818122178600,44398588,170763
20,DB하이텍,41100,41900,40100,-850,2024-04-19,41700,1824781966800,44398588,321986
21,DB하이텍,41950,42350,41500,250,2024-04-18,41550,1862520766600,44398588,174230
22,DB하이텍,41700,42950,41200,900,2024-04-17,41200,1851421119600,44398588,404070
23,DB하이텍,40800,41300,40050,-200,2024-04-16,40250,1811462390400,44398588,297589
24,DB하이텍,41000,41500,40200,-1000,2024-04-15,41000,1820342108000,44398588,293100
