id,itmsNm,clpr,hipr,lopr,vs,basDt,mkp,mrktTotAmt,lstgStCnt,trqu
1,DL,58300,59800,57500,-1100,2024-05-21,59500,1221728037200,20955884,42685
2,DL,59400,60900,58400,900,2024-05-20,59000,1244779509600,20955884,144169
3,DL,58500,59200,56300,1800,2024-05-17,56300,1225919214000,20955884,96578
4,DL,56700,57400,56400,100,2024-05-16,57300,1188198622800,20955884,48571
5,DL,56600,57000,54600,1900,2024-05-14,54700,1186103034400,20955884,64425
6,DL,54700,55000,53900,200,2024-05-13,54900,1146286854800,20955884,26550
7,DL,54500,55800,54100,0,2024-05-10,55300,1142095678000,20955884,36483
8,DL,54500,56000,54400,-1000,2024-05-09,55700,1142095678000,20955884,44718
9,DL,55500,56400,55400,-400,2024-05-08,55800,1163051562000,20955884,35143
10,DL,55900,56300,55100,300,2024-05-07,56100,1171433915600,20955884,104460
11,DL,55600,59000,55100,-1900,2024-05-03,58500,1165147150400,20955884,230444
12,DL,57500,58500,52200,4100,2024-05-02,52700,1204963330000,20955884,255052
13,DL,53400,53600,52700,100,2024-04-30,53400,1119044205600,20955884,23059
14,DL,53300,53300,50700,2800,2024-04-29,50700,1116948617200,20955884,46486
15,DL,50500,50800,49300,900,2024-04-26,50300,1058272142000,20955884,22975
16,DL,49600,50300,49150,0,2024-04-25,49150,1039411846400,20955884,20982
17,DL,49600,50700,49300,-500,2024-04-24,50700,1039411846400,20955884,40190
18,DL,50100,50900,49350,-400,2024-04-23,50000,1049889788400,20955884,37100
19,DL,50500,50700,49550,1100,2024-04-22,50600,1058272142000,20955884,30971
20,DL,49400,49600,48250,-200,2024-04-19,48800,1035220669600,20955884,37619
21,DL,49600,50500,48850,1100,2024-04-18,49450,1039411846400,20955884,55734
22,DL,48500,51000,48350,-1700,2024-04-17,51000,1016360374000,20955884,54420
23,DL,50200,51100,49650,-1500,2024-04-16,51100,1051985376800,20955884,33065
24,DL,51700,52100,50000,1100,2024-04-15,50000,1083419202800,20955884,28631
