id,itmsNm,clpr,hipr,lopr,vs,basDt,mkp,mrktTotAmt,lstgStCnt,trqu
1,DL우,29700,30100,29500,-250,2024-05-21,29950,50077615500,1686115,1028
2,DL우,29950,30300,29250,450,2024-05-20,29500,50499144250,1686115,7135
3,DL우,29500,29550,27750,1350,2024-05-17,28150,49740392500,1686115,8803
4,DL우,28150,28550,27900,250,2024-05-16,27900,47464137250,1686115,1283
5,DL우,27900,28200,26950,950,2024-05-14,26950,47042608500,1686115,3043
6,DL우,26950,27800,26800,0,2024-05-13,26950,45440799250,1686115,6407
7,DL우,26950,27600,26950,-650,2024-05-10,27600,45440799250,1686115,1092
8,DL우,27600,27650,26750,400,2024-05-09,27150,46536774000,1686115,1161
9,DL우,27200,27900,27000,-550,2024-05-08,27750,45862328000,1686115,6653
10,DL우,27750,28200,26950,650,2024-05-07,27450,46789691250,1686115,5267
11,DL우,27100,28150,26800,-400,2024-05-03,27500,45693716500,1686115,4250
12,DL우,27500,27800,26250,1200,2024-05-02,26300,46368162500,1686115,4458
13,DL우,26300,26950,26300,-350,2024-04-30,26500,44344824500,1686115,1701
14,DL우,26650,26950,25650,850,2024-04-29,25900,44934964750,1686115,2845
15,DL우,25800,25850,25450,200,2024-04-26,25850,43501767000,1686115,181
16,DL우,25600,25900,25200,-200,2024-04-25,25200,43164544000,1686115,396
17,DL우,25800,25850,25400,-50,2024-04-24,25700,43501767000,1686115,192
18,DL우,25850,25900,25250,100,2024-04-23,25750,43586072750,1686115,1374
19,DL우,25750,25850,24800,550,2024-04-22,25050,43417461250,1686115,855
20,DL우,25200,25500,24350,450,2024-04-19,24800,42490098000,1686115,219
21,DL우,24750,25550,23000,1450,2024-04-18,23950,41731346250,1686115,5301
22,DL우,23300,24700,23300,-400,2024-04-17,24200,39286479500,1686115,3141
23,DL우,23700,24650,23700,-750,2024-04-16,24650,39960925500,1686115,1486
24,DL우,24450,25100,24100,-150,2024-04-15,24650,41225511750,1686115,2255
