id,itmsNm,clpr,hipr,lopr,vs,basDt,mkp,mrktTotAmt,lstgStCnt,trqu
1,GRT,3380,3495,3365,-95,2024-05-21,3455,227727500000,67375000,55686
2,GRT,3475,3505,3425,-20,2024-05-20,3495,234128125000,67375000,15851
3,GRT,3495,3550,3365,-5,2024-05-17,3500,235475625000,67375000,63625
4,GRT,3500,3550,3430,30,2024-05-16,3475,235812500000,67375000,71712
5,GRT,3470,3470,3385,75,2024-05-14,3425,233791250000,67375000,41639
6,GRT,3395,3590,3395,-55,2024-05-13,3540,228738125000,67375000,70608
7,GRT,3450,3525,3350,100,2024-05-10,3360,232443750000,67375000,100418
8,GRT,3350,3440,3280,35,2024-05-09,3315,225706250000,67375000,86219
9,GRT,3315,3400,3235,60,2024-05-08,3235,223348125000,67375000,75776
10,GRT,3255,3285,3210,45,2024-05-07,3215,219305625000,67375000,15076
11,GRT,3210,3270,3210,-60,2024-05-03,3215,216273750000,67375000,22661
12,GRT,3270,3280,3205,15,2024-05-02,3210,220316250000,67375000,18569
13,GRT,3255,3265,3205,25,2024-04-30,3205,219305625000,67375000,36825
14,GRT,3230,3280,3200,25,2024-04-29,3275,217621250000,67375000,37179
15,GRT,3205,3270,3205,-60,2024-04-26,3255,215936875000,67375000,6751
16,GRT,3265,3300,3230,-5,2024-04-25,3270,219979375000,67375000,16304
17,GRT,3270,3300,3220,-5,2024-04-24,3300,220316250000,67375000,13061
18,GRT,3275,3295,3220,5,2024-04-23,3270,220653125000,67375000,18117
19,GRT,3270,3350,3195,15,2024-04-22,3220,220316250000,67375000,30731
20,GRT,3255,3280,3195,-15,2024-04-19,3280,219305625000,67375000,30108
21,GRT,3270,3600,3205,-5,2024-04-18,3295,220316250000,67375000,234874
22,GRT,3275,3370,3180,0,2024-04-17,3370,220653125000,67375000,35075
23,GRT,3275,3400,3185,25,2024-04-16,3235,220653125000,67375000,53823
24,GRT,3250,3260,3175,-55,2024-04-15,3205,218968750000,67375000,42377
