id,itmsNm,clpr,hipr,lopr,vs,basDt,mkp,mrktTotAmt,lstgStCnt,trqu
1,GS글로벌,2490,2525,2480,0,2024-05-21,2510,205509072360,82533764,378582
2,GS글로벌,2490,2610,2445,30,2024-05-20,2455,205509072360,82533764,1419087
3,GS글로벌,2460,2485,2445,-15,2024-05-17,2485,203033059440,82533764,261602
4,GS글로벌,2475,2550,2465,-10,2024-05-16,2505,204271065900,82533764,529477
5,GS글로벌,2485,2520,2460,20,2024-05-14,2465,205096403540,82533764,217090
6,GS글로벌,2465,2515,2465,-40,2024-05-13,2505,203445728260,82533764,345237
7,GS글로벌,2505,2525,2490,5,2024-05-10,2505,206747078820,82533764,204866
8,GS글로벌,2500,2520,2495,-15,2024-05-09,2505,206334410000,82533764,235953
9,GS글로벌,2515,2525,2460,40,2024-05-08,2465,207572416460,82533764,428907
10,GS글로벌,2475,2485,2445,20,2024-05-07,2485,204271065900,82533764,235292
11,GS글로벌,2455,2510,2450,-30,2024-05-03,2485,202620390620,82533764,331544
12,GS글로벌,2485,2490,2450,15,2024-05-02,2470,205096403540,82533764,230535
13,GS글로벌,2470,2495,2450,10,2024-04-30,2450,203858397080,82533764,308570
14,GS글로벌,2460,2480,2415,50,2024-04-29,2420,203033059440,82533764,409263
15,GS글로벌,2410,2440,2395,-10,2024-04-26,2425,198906371240,82533764,240215
16,GS글로벌,2420,2450,2410,-15,2024-04-25,2425,199731708880,82533764,246616
17,GS글로벌,2435,2440,2405,45,2024-04-24,2405,200969715340,82533764,210172
18,GS글로벌,2390,2440,2380,-10,2024-04-23,2400,197255695960,82533764,434977
19,GS글로벌,2400,2455,2395,-35,2024-04-22,2440,198081033600,82533764,447540
20,GS글로벌,2435,2595,2385,0,2024-04-19,2410,200969715340,82533764,2492972
21,GS글로벌,2435,2435,2325,105,2024-04-18,2325,200969715340,82533764,735284
22,GS글로벌,2330,2380,2330,-25,2024-04-17,2360,192303670120,82533764,405312
23,GS글로벌,2355,2440,2335,-90,2024-04-16,2420,194367014220,82533764,757227
24,GS글로벌,2445,2475,2415,-25,2024-04-15,2435,201795052980,82533764,540960
