id,itmsNm,clpr,hipr,lopr,vs,basDt,mkp,mrktTotAmt,lstgStCnt,trqu
1,JW중외제약2우B,59400,59400,59400,-200,2024-05-21,59400,12472396200,209973,4
2,JW중외제약2우B,59600,59600,59600,100,2024-05-20,59600,12514390800,209973,7
3,JW중외제약2우B,59500,59500,58200,800,2024-05-17,58700,12493393500,209973,46
4,JW중외제약2우B,58700,58700,58700,0,2024-05-16,58700,12325415100,209973,1
5,JW중외제약2우B,58700,58700,58100,-300,2024-05-14,58100,12325415100,209973,12
6,JW중외제약2우B,59000,59000,59000,0,2024-05-13,59000,12388407000,209973,10
7,JW중외제약2우B,59000,59000,56400,-300,2024-05-10,56400,12388407000,209973,327
8,JW중외제약2우B,59300,59300,58500,0,2024-05-09,58600,12451398900,209973,69
9,JW중외제약2우B,59300,59400,58600,-200,2024-05-08,58900,12451398900,209973,54
10,JW중외제약2우B,59500,59500,59500,0,2024-05-07,59500,12493393500,209973,2
11,JW중외제약2우B,59500,59500,59400,0,2024-05-03,59400,12493393500,209973,3
12,JW중외제약2우B,59500,0,0,0,2024-05-02,0,12493393500,209973,0
13,JW중외제약2우B,59500,59500,59500,0,2024-04-30,59500,12493393500,209973,5
14,JW중외제약2우B,59500,59500,59500,500,2024-04-29,59500,12493393500,209973,1
15,JW중외제약2우B,59000,0,0,-500,2024-04-26,0,12388407000,209973,0
16,JW중외제약2우B,59500,59600,59400,100,2024-04-25,59600,12493393500,209973,3
17,JW중외제약2우B,59400,59400,58700,-100,2024-04-24,58700,12472396200,209973,15
18,JW중외제약2우B,59500,59500,59400,-100,2024-04-23,59400,12493393500,209973,8
19,JW중외제약2우B,59600,59600,59600,300,2024-04-22,59600,12514390800,209973,1
20,JW중외제약2우B,59300,59300,59300,-100,2024-04-19,59300,12451398900,209973,3
21,JW중외제약2우B,59400,59400,59400,-100,2024-04-18,59400,12472396200,209973,5
22,JW중외제약2우B,59500,59600,58400,200,2024-04-17,59600,12493393500,209973,21
23,JW중외제약2우B,59300,59400,59300,400,2024-04-16,59400,12451398900,209973,169
24,JW중외제약2우B,58900,58900,58900,-100,2024-04-15,58900,12367409700,209973,2
