id,itmsNm,clpr,hipr,lopr,vs,basDt,mkp,mrktTotAmt,lstgStCnt,trqu
1,JW중외제약,30000,30150,29350,200,2024-05-21,29900,698577900000,23285930,94501
2,JW중외제약,29800,30900,29650,-950,2024-05-20,30650,693920714000,23285930,176588
3,JW중외제약,30750,31000,30050,400,2024-05-17,30250,716042347500,23285930,94901
4,JW중외제약,30350,30700,30050,-50,2024-05-16,30700,706727975500,23285930,80755
5,JW중외제약,30400,30500,30000,300,2024-05-14,30050,707892272000,23285930,45775
6,JW중외제약,30100,30350,29500,-450,2024-05-13,30300,700906493000,23285930,74517
7,JW중외제약,30550,30900,30300,-250,2024-05-10,30800,711385161500,23285930,60316
8,JW중외제약,30800,31400,30550,-450,2024-05-09,31400,717206644000,23285930,73446
9,JW중외제약,31250,32200,30800,500,2024-05-08,30900,727685312500,23285930,147507
10,JW중외제약,30750,31000,30450,400,2024-05-07,30500,716042347500,23285930,67514
11,JW중외제약,30350,31000,29900,-450,2024-05-03,31000,706727975500,23285930,114616
12,JW중외제약,30800,31100,30500,-150,2024-05-02,30900,717206644000,23285930,72447
13,JW중외제약,30950,31300,30650,300,2024-04-30,30650,720699533500,23285930,90995
14,JW중외제약,30650,30700,30050,250,2024-04-29,30500,713713754500,23285930,75869
15,JW중외제약,30400,30450,29950,600,2024-04-26,30000,707892272000,23285930,34283
16,JW중외제약,29800,30500,29750,-700,2024-04-25,30450,693920714000,23285930,46451
17,JW중외제약,30500,30700,29850,850,2024-04-24,30000,710220865000,23285930,84890
18,JW중외제약,29650,30100,29450,0,2024-04-23,29650,690427824500,23285930,45311
19,JW중외제약,29650,29800,29100,500,2024-04-22,29150,690427824500,23285930,35673
20,JW중외제약,29150,30100,28650,-650,2024-04-19,30050,678784859500,23285930,113052
21,JW중외제약,29800,30050,28350,1400,2024-04-18,28350,693920714000,23285930,73566
22,JW중외제약,28400,29150,28400,-400,2024-04-17,28800,661320412000,23285930,72195
23,JW중외제약,28800,29650,28500,-1100,2024-04-16,29600,670634784000,23285930,145113
24,JW중외제약,29900,30200,29650,-650,2024-04-15,30150,696249307000,23285930,73038
