id,itmsNm,clpr,hipr,lopr,vs,basDt,mkp,mrktTotAmt,lstgStCnt,trqu
1,JW중외제약우,29000,29350,28500,-400,2024-05-21,29350,9916579000,341951,381
2,JW중외제약우,29400,29400,29050,150,2024-05-20,29250,10053359400,341951,82
3,JW중외제약우,29250,29350,28700,150,2024-05-17,28700,10002066750,341951,177
4,JW중외제약우,29100,29600,29100,-450,2024-05-16,29600,9950774100,341951,96
5,JW중외제약우,29550,29600,29550,50,2024-05-14,29550,10104652050,341951,31
6,JW중외제약우,29500,29500,28900,100,2024-05-13,28900,10087554500,341951,245
7,JW중외제약우,29400,29400,29000,100,2024-05-10,29300,10053359400,341951,204
8,JW중외제약우,29300,29300,28900,-150,2024-05-09,29000,10019164300,341951,299
9,JW중외제약우,29450,29450,29100,350,2024-05-08,29150,10070456950,341951,123
10,JW중외제약우,29100,29450,28800,-350,2024-05-07,29450,9950774100,341951,495
11,JW중외제약우,29450,29450,28800,400,2024-05-03,29000,10070456950,341951,311
12,JW중외제약우,29050,29150,28700,0,2024-05-02,29150,9933676550,341951,413
13,JW중외제약우,29050,29100,28850,-150,2024-04-30,29100,9933676550,341951,177
14,JW중외제약우,29200,29200,28750,-50,2024-04-29,29200,9984969200,341951,362
15,JW중외제약우,29250,29250,28900,100,2024-04-26,28900,10002066750,341951,74
16,JW중외제약우,29150,29500,28900,-200,2024-04-25,29500,9967871650,341951,212
17,JW중외제약우,29350,29700,28900,-100,2024-04-24,29700,10036261850,341951,307
18,JW중외제약우,29450,29600,28700,-150,2024-04-23,29600,10070456950,341951,355
19,JW중외제약우,29600,29600,29000,-100,2024-04-22,29000,10121749600,341951,115
20,JW중외제약우,29700,29700,29000,0,2024-04-19,29000,10155944700,341951,43
21,JW중외제약우,29700,29700,28650,1150,2024-04-18,28650,10155944700,341951,152
22,JW중외제약우,28550,28550,28250,300,2024-04-17,28250,9762701050,341951,319
23,JW중외제약우,28250,28850,28250,-650,2024-04-16,28850,9660115750,341951,146
24,JW중외제약우,28900,29000,28750,-550,2024-04-15,28950,9882383900,341951,121
