id,itmsNm,clpr,hipr,lopr,vs,basDt,mkp,mrktTotAmt,lstgStCnt,trqu
1,KG케미칼,5320,5450,5300,-90,2024-05-21,5420,364255292800,68469040,233441
2,KG케미칼,5410,5500,5400,-70,2024-05-20,5480,370417506400,68469040,270123
3,KG케미칼,5480,5640,5460,-130,2024-05-17,5600,375210339200,68469040,197874
4,KG케미칼,5610,5710,5600,-10,2024-05-16,5670,384111314400,68469040,129243
5,KG케미칼,5620,5670,5560,30,2024-05-14,5590,384796004800,68469040,135075
6,KG케미칼,5590,5610,5520,30,2024-05-13,5540,382741933600,68469040,143584
7,KG케미칼,5560,5660,5530,-50,2024-05-10,5610,380687862400,68469040,156744
8,KG케미칼,5610,5740,5580,-90,2024-05-09,5710,384111314400,68469040,168579
9,KG케미칼,5700,5720,5600,50,2024-05-08,5650,390273528000,68469040,143826
10,KG케미칼,5650,5730,5600,0,2024-05-07,5660,386850076000,68469040,136000
11,KG케미칼,5650,5700,5570,-10,2024-05-03,5660,386850076000,68469040,157245
12,KG케미칼,5660,5760,5650,-70,2024-05-02,5730,387534766400,68469040,140897
13,KG케미칼,5730,5790,5660,10,2024-04-30,5720,392327599200,68469040,232965
14,KG케미칼,5720,5720,5480,260,2024-04-29,5480,391642908800,68469040,343748
15,KG케미칼,5460,5510,5410,30,2024-04-26,5450,373840958400,68469040,125250
16,KG케미칼,5430,5520,5430,-60,2024-04-25,5490,371786887200,68469040,172304
17,KG케미칼,5490,5580,5490,0,2024-04-24,5530,375895029600,68469040,150714
18,KG케미칼,5490,5590,5450,-40,2024-04-23,5500,375895029600,68469040,192581
19,KG케미칼,5530,5630,5470,30,2024-04-22,5600,378633791200,68469040,176944
20,KG케미칼,5500,5530,5370,80,2024-04-19,5410,376579720000,68469040,222233
21,KG케미칼,5420,5500,5260,150,2024-04-18,5270,371102196800,68469040,159401
22,KG케미칼,5270,5370,5250,0,2024-04-17,5280,360831840800,68469040,161488
23,KG케미칼,5270,5450,5270,-80,2024-04-16,5270,360831840800,68469040,231553
24,KG케미칼,5350,5430,5220,-30,2024-04-15,5300,366309364000,68469040,220298
