id,itmsNm,clpr,hipr,lopr,vs,basDt,mkp,mrktTotAmt,lstgStCnt,trqu
1,KR모터스,1000,1020,996,-17,2024-05-21,1017,29132868000,29132868,105742
2,KR모터스,1017,1043,1001,6,2024-05-20,1043,29628126756,29132868,187970
3,KR모터스,1011,1055,1007,-30,2024-05-17,1041,29453329548,29132868,183545
4,KR모터스,1041,1063,1039,-5,2024-05-16,1051,30327315588,29132868,135263
5,KR모터스,1046,1051,1040,1,2024-05-14,1050,30472979928,29132868,117431
6,KR모터스,1045,1065,1043,-4,2024-05-13,1054,30443847060,29132868,129460
7,KR모터스,1049,1061,1044,-1,2024-05-10,1055,30560378532,29132868,161289
8,KR모터스,1050,1065,1050,3,2024-05-09,1055,30589511400,29132868,244503
9,KR모터스,1047,1133,1047,8,2024-05-08,1052,30502112796,29132868,597077
10,KR모터스,1039,1075,1037,-14,2024-05-07,1071,30269049852,29132868,298439
11,KR모터스,1053,1080,1051,-5,2024-05-03,1080,30676910004,29132868,284438
12,KR모터스,1058,1153,1003,29,2024-05-02,1029,30822574344,29132868,1924368
13,KR모터스,1029,1212,955,54,2024-04-30,985,29977721172,29132868,6417410
14,KR모터스,975,1019,960,-21,2024-04-29,1019,28404546300,29132868,451298
15,KR모터스,996,1090,996,-55,2024-04-26,1050,29016336528,29132868,404731
16,KR모터스,1051,1081,1050,-17,2024-04-25,1072,30618644268,29132868,276532
17,KR모터스,1068,1095,1068,-14,2024-04-24,1090,31113903024,29132868,259909
18,KR모터스,1082,1114,1076,-6,2024-04-23,1096,31521763176,29132868,297530
19,KR모터스,1088,1108,1075,14,2024-04-22,1075,31696560384,29132868,308031
20,KR모터스,1074,1114,1066,-29,2024-04-19,1112,31288700232,29132868,225822
21,KR모터스,1103,1138,1084,21,2024-04-18,1084,32133553404,29132868,298029
22,KR모터스,1082,1140,1069,13,2024-04-17,1069,31521763176,29132868,213817
23,KR모터스,1069,1130,1050,-51,2024-04-16,1130,31143035892,29132868,417847
24,KR모터스,1120,1175,1081,-63,2024-04-15,1156,32628812160,29132868,654697
