id,itmsNm,clpr,hipr,lopr,vs,basDt,mkp,mrktTotAmt,lstgStCnt,trqu
1,LS네트웍스,4835,5050,4810,-35,2024-05-21,4880,381012582360,78803016,2017542
2,LS네트웍스,4870,5120,4535,335,2024-05-20,4535,383770687920,78803016,8324557
3,LS네트웍스,4535,4635,4510,-100,2024-05-17,4610,357371677560,78803016,601184
4,LS네트웍스,4635,4690,4600,-40,2024-05-16,4655,365251979160,78803016,660270
5,LS네트웍스,4675,4850,4675,-145,2024-05-14,4835,368404099800,78803016,1119791
6,LS네트웍스,4820,4900,4695,85,2024-05-13,4755,379830537120,78803016,1486959
7,LS네트웍스,4735,4770,4600,85,2024-05-10,4655,373132280760,78803016,826780
8,LS네트웍스,4650,4750,4600,-70,2024-05-09,4700,366434024400,78803016,531812
9,LS네트웍스,4720,4720,4535,155,2024-05-08,4580,371950235520,78803016,675308
10,LS네트웍스,4565,4650,4555,-10,2024-05-07,4595,359735768040,78803016,646934
11,LS네트웍스,4575,4680,4565,-65,2024-05-03,4670,360523798200,78803016,532152
12,LS네트웍스,4640,4785,4615,-90,2024-05-02,4675,365645994240,78803016,859588
13,LS네트웍스,4730,5020,4730,-135,2024-04-30,4885,372738265680,78803016,2984737
14,LS네트웍스,4865,5270,4580,235,2024-04-29,4650,383376672840,78803016,10250193
15,LS네트웍스,4630,4740,4350,270,2024-04-26,4350,364857964080,78803016,1797790
16,LS네트웍스,4360,4445,4335,-65,2024-04-25,4425,343581149760,78803016,246920
17,LS네트웍스,4425,4425,4330,95,2024-04-24,4330,348703345800,78803016,282831
18,LS네트웍스,4330,4425,4280,-40,2024-04-23,4370,341217059280,78803016,290363
19,LS네트웍스,4370,4435,4220,105,2024-04-22,4220,344369179920,78803016,435375
20,LS네트웍스,4265,4370,4135,-80,2024-04-19,4345,336094863240,78803016,425228
21,LS네트웍스,4345,4390,4185,135,2024-04-18,4185,342399104520,78803016,397774
22,LS네트웍스,4210,4260,4140,55,2024-04-17,4140,331760697360,78803016,391186
23,LS네트웍스,4155,4390,4150,-260,2024-04-16,4380,327426531480,78803016,730669
24,LS네트웍스,4415,4450,4320,-70,2024-04-15,4395,347915315640,78803016,537501
