id,itmsNm,clpr,hipr,lopr,vs,basDt,mkp,mrktTotAmt,lstgStCnt,trqu
1,LX인터내셔널,34450,35950,32650,1550,2024-05-21,33700,1335282000000,38760000,3654135
2,LX인터내셔널,32900,34900,29100,3900,2024-05-20,29100,1275204000000,38760000,4856104
3,LX인터내셔널,29000,29350,28850,-250,2024-05-17,29150,1124040000000,38760000,123037
4,LX인터내셔널,29250,29450,28850,100,2024-05-16,29250,1133730000000,38760000,199801
5,LX인터내셔널,29150,29350,28700,-100,2024-05-14,29350,1129854000000,38760000,200223
6,LX인터내셔널,29250,29800,29150,-100,2024-05-13,29600,1133730000000,38760000,230996
7,LX인터내셔널,29350,29600,28900,500,2024-05-10,29100,1137606000000,38760000,277234
8,LX인터내셔널,28850,29350,28750,-350,2024-05-09,29200,1118226000000,38760000,231313
9,LX인터내셔널,29200,29350,28450,300,2024-05-08,29000,1131792000000,38760000,238850
10,LX인터내셔널,28900,28950,28450,450,2024-05-07,28650,1120164000000,38760000,226610
11,LX인터내셔널,28450,28800,28150,-50,2024-05-03,28550,1102722000000,38760000,200290
12,LX인터내셔널,28500,28600,27850,500,2024-05-02,27850,1104660000000,38760000,349952
13,LX인터내셔널,28000,28300,27600,-300,2024-04-30,28300,1085280000000,38760000,396912
14,LX인터내셔널,28300,28450,26950,1650,2024-04-29,27050,1096908000000,38760000,738700
15,LX인터내셔널,26650,26700,26250,450,2024-04-26,26400,1032954000000,38760000,88574
16,LX인터내셔널,26200,26750,26200,-500,2024-04-25,26500,1015512000000,38760000,135790
17,LX인터내셔널,26700,26800,26500,250,2024-04-24,26700,1034892000000,38760000,116503
18,LX인터내셔널,26450,26750,26400,0,2024-04-23,26450,1025202000000,38760000,132773
19,LX인터내셔널,26450,26750,25900,650,2024-04-22,26000,1025202000000,38760000,162923
20,LX인터내셔널,25800,26050,25400,-250,2024-04-19,25900,1000008000000,38760000,189480
21,LX인터내셔널,26050,26450,25850,150,2024-04-18,25850,1009698000000,38760000,135691
22,LX인터내셔널,25900,26300,25850,-150,2024-04-17,26050,1003884000000,38760000,126615
23,LX인터내셔널,26050,26850,25850,-600,2024-04-16,26550,1009698000000,38760000,210769
24,LX인터내셔널,26650,27000,26250,500,2024-04-15,26350,1032954000000,38760000,223615
