id,itmsNm,clpr,hipr,lopr,vs,basDt,mkp,mrktTotAmt,lstgStCnt,trqu
1,SG글로벌,1825,1858,1801,-22,2024-05-21,1847,82059560975,44964143,106541
2,SG글로벌,1847,1905,1765,-58,2024-05-20,1890,83048772121,44964143,405689
3,SG글로벌,1905,1967,1905,-62,2024-05-17,1967,85656692415,44964143,212174
4,SG글로벌,1967,1985,1950,-18,2024-05-16,1972,88444469281,44964143,77988
5,SG글로벌,1985,1989,1959,20,2024-05-14,1975,89253823855,44964143,22439
6,SG글로벌,1965,2005,1955,-28,2024-05-13,1993,88354540995,44964143,53540
7,SG글로벌,1993,2030,1983,-22,2024-05-10,2030,89613536999,44964143,46927
8,SG글로벌,2015,2035,1997,5,2024-05-09,2035,90602748145,44964143,35700
9,SG글로벌,2010,2020,1972,21,2024-05-08,2010,90377927430,44964143,23158
10,SG글로벌,1989,2050,1989,-41,2024-05-07,2030,89433680427,44964143,73513
11,SG글로벌,2030,2125,2020,-90,2024-05-03,2125,91277210290,44964143,116170
12,SG글로벌,2120,2160,2060,10,2024-05-02,2115,95323983160,44964143,109694
13,SG글로벌,2110,2145,2095,15,2024-04-30,2100,94874341730,44964143,90856
14,SG글로벌,2095,2100,2050,5,2024-04-29,2090,94199879585,44964143,98275
15,SG글로벌,2090,2140,2060,-15,2024-04-26,2115,93975058870,44964143,103501
16,SG글로벌,2105,2165,2085,-45,2024-04-25,2160,94649521015,44964143,97811
17,SG글로벌,2150,2155,2030,100,2024-04-24,2050,96672907450,44964143,168575
18,SG글로벌,2050,2080,2020,15,2024-04-23,2020,92176493150,44964143,145051
19,SG글로벌,2035,2055,1979,42,2024-04-22,1979,91502031005,44964143,45669
20,SG글로벌,1993,2030,1956,-12,2024-04-19,2030,89613536999,44964143,86896
21,SG글로벌,2005,2035,1990,10,2024-04-18,2010,90153106715,44964143,45048
22,SG글로벌,1995,2025,1995,-20,2024-04-17,1997,89703465285,44964143,29917
23,SG글로벌,2015,2050,1980,-30,2024-04-16,2050,90602748145,44964143,87804
24,SG글로벌,2045,2050,1991,5,2024-04-15,1992,91951672435,44964143,102327
