id,itmsNm,clpr,hipr,lopr,vs,basDt,mkp,mrktTotAmt,lstgStCnt,trqu
1,SK하이닉스,192000,193500,191200,1900,2024-05-21,193400,139776454080000,728002365,2468109
2,SK하이닉스,190100,193200,188600,200,2024-05-20,192300,138393249586500,728002365,3592128
3,SK하이닉스,189900,193500,189900,-3100,2024-05-17,192000,138247649113500,728002365,2841394
4,SK하이닉스,193000,194000,191100,7700,2024-05-16,191100,140504456445000,728002365,5083178
5,SK하이닉스,185300,185800,181800,1500,2024-05-14,184200,134898838234500,728002365,2763069
6,SK하이닉스,183800,184000,179000,3900,2024-05-13,180000,133806834687000,728002365,3230023
7,SK하이닉스,179900,180100,176400,4500,2024-05-10,176500,130967625463500,728002365,2813668
8,SK하이닉스,175400,179400,175400,-2600,2024-05-09,179000,127691614821000,728002365,2861600
9,SK하이닉스,178000,179400,176000,-1600,2024-05-08,177600,129584420970000,728002365,2304744
10,SK하이닉스,179600,180900,179300,6400,2024-05-07,179400,130749224754000,728002365,4349589
11,SK하이닉스,173200,177500,173200,-400,2024-05-03,177000,126090009618000,728002365,2336256
12,SK하이닉스,173600,174700,169000,-600,2024-05-02,169000,126381210564000,728002365,3168250
13,SK하이닉스,174200,179000,173800,-1700,2024-04-30,175900,126818011983000,728002365,3655060
14,SK하이닉스,175900,180400,175600,-1900,2024-04-29,179100,128055616003500,728002365,2892809
15,SK하이닉스,177800,178300,174900,7200,2024-04-26,176200,129438820497000,728002365,5471765
16,SK하이닉스,170600,176700,170600,-9200,2024-04-25,173800,124197203469000,728002365,5332149
17,SK하이닉스,179800,180200,176300,8800,2024-04-24,178900,130894825227000,728002365,4254632
18,SK하이닉스,171000,173700,169700,-600,2024-04-23,172600,124488404415000,728002365,3975371
19,SK하이닉스,171600,172400,167000,-1700,2024-04-22,170700,124925205834000,728002365,5882906
20,SK하이닉스,173300,178500,169500,-9000,2024-04-19,177200,126162809854500,728002365,7545976
21,SK하이닉스,182300,183300,175400,3600,2024-04-18,176000,132714831139500,728002365,4170243
22,SK하이닉스,178700,182500,177700,-400,2024-04-17,179600,130094022625500,728002365,4340591
23,SK하이닉스,179100,185500,178300,-9100,2024-04-16,184400,130385223571500,728002365,4956035
24,SK하이닉스,188200,188400,183000,800,2024-04-15,185400,137010045093000,728002365,2672047
