id,itmsNm,clpr,hipr,lopr,vs,basDt,mkp,mrktTotAmt,lstgStCnt,trqu
1,가온전선,61700,68100,61700,-3900,2024-05-21,67000,453985268200,7357946,753376
2,가온전선,65600,68600,62400,4300,2024-05-20,62400,482681257600,7357946,1417888
3,가온전선,61300,65100,60500,-3900,2024-05-17,63200,451042089800,7357946,590070
4,가온전선,65200,66000,60400,1600,2024-05-16,64500,479738079200,7357946,1401650
5,가온전선,63600,70900,62000,-2700,2024-05-14,67700,467965365600,7357946,1259143
6,가온전선,66300,74500,64000,1100,2024-05-13,66800,487831819800,7357946,3556501
7,가온전선,65200,69500,55600,8300,2024-05-10,57500,479738079200,7357946,4736085
8,가온전선,56900,58100,49850,6100,2024-05-09,51400,418667127400,7357946,1627296
9,가온전선,50800,52600,49600,-1300,2024-05-08,51400,373783656800,7357946,955019
10,가온전선,52100,54200,45150,7000,2024-05-07,45600,383348986600,7357946,2803474
11,가온전선,45100,48200,44800,-3000,2024-05-03,47650,331843364600,7357946,615123
12,가온전선,48100,50100,47100,-1150,2024-05-02,48400,353917202600,7357946,671937
13,가온전선,49250,51800,48400,-150,2024-04-30,50300,362378840500,7357946,1129351
14,가온전선,49400,54000,45600,2300,2024-04-29,47100,363482532400,7357946,3555386
15,가온전선,47100,48300,38850,9400,2024-04-26,38900,346559256600,7357946,4832998
16,가온전선,37700,39400,37600,-2700,2024-04-25,39200,277394564200,7357946,400839
17,가온전선,40400,40400,37600,1250,2024-04-24,39150,297261018400,7357946,570705
18,가온전선,39150,39450,36700,1800,2024-04-23,37800,288063585900,7357946,599004
19,가온전선,37350,40400,36650,-1600,2024-04-22,38500,274819283100,7357946,525754
20,가온전선,38950,40550,36550,-2050,2024-04-19,40500,286591996700,7357946,846017
21,가온전선,41000,41100,39000,2550,2024-04-18,40250,301675786000,7357946,1187926
22,가온전선,38450,40300,37450,-600,2024-04-17,39300,282913023700,7357946,1041029
23,가온전선,39050,46950,38200,-6050,2024-04-16,44250,287327791300,7357946,1789805
24,가온전선,45100,45900,43000,450,2024-04-15,45100,331843364600,7357946,1506009
