id,itmsNm,clpr,hipr,lopr,vs,basDt,mkp,mrktTotAmt,lstgStCnt,trqu
1,강남제비스코,27450,27900,26900,0,2024-05-21,27800,178425000000,6500000,9172
2,강남제비스코,27450,27450,26250,700,2024-05-20,26750,178425000000,6500000,19812
3,강남제비스코,26750,30200,25750,650,2024-05-17,26400,173875000000,6500000,140952
4,강남제비스코,26100,26350,25700,400,2024-05-16,26050,169650000000,6500000,4998
5,강남제비스코,25700,27000,25650,-1300,2024-05-14,26900,167050000000,6500000,21936
6,강남제비스코,27000,27950,26750,-950,2024-05-13,27950,175500000000,6500000,21843
7,강남제비스코,27950,28200,27150,750,2024-05-10,27550,181675000000,6500000,16565
8,강남제비스코,27200,27400,26400,600,2024-05-09,26900,176800000000,6500000,13786
9,강남제비스코,26600,27150,26500,-100,2024-05-08,26700,172900000000,6500000,5417
10,강남제비스코,26700,27700,26650,-550,2024-05-07,27050,173550000000,6500000,11859
11,강남제비스코,27250,27600,26850,-100,2024-05-03,27300,177125000000,6500000,11833
12,강남제비스코,27350,27750,27300,-450,2024-05-02,27750,177775000000,6500000,11841
13,강남제비스코,27800,28800,27700,-350,2024-04-30,28150,180700000000,6500000,37781
14,강남제비스코,28150,29800,28150,-1650,2024-04-29,29800,182975000000,6500000,27647
15,강남제비스코,29800,30500,29000,900,2024-04-26,29050,193700000000,6500000,67769
16,강남제비스코,28900,29050,27750,1050,2024-04-25,27900,187850000000,6500000,35541
17,강남제비스코,27850,27900,27200,100,2024-04-24,27900,181025000000,6500000,15999
18,강남제비스코,27750,27850,27100,350,2024-04-23,27650,180375000000,6500000,15990
19,강남제비스코,27400,27450,26600,700,2024-04-22,27000,178100000000,6500000,16039
20,강남제비스코,26700,26900,25900,50,2024-04-19,26750,173550000000,6500000,17139
21,강남제비스코,26650,26650,25500,700,2024-04-18,25950,173225000000,6500000,10005
22,강남제비스코,25950,26000,25300,150,2024-04-17,25850,168675000000,6500000,12191
23,강남제비스코,25800,26550,25550,-850,2024-04-16,26550,167700000000,6500000,17963
24,강남제비스코,26650,26650,25950,200,2024-04-15,26500,173225000000,6500000,6686
