id,itmsNm,clpr,hipr,lopr,vs,basDt,mkp,mrktTotAmt,lstgStCnt,trqu
1,경방,8040,8230,8040,-100,2024-05-21,8140,220418770800,27415270,2398
2,경방,8140,8220,8030,90,2024-05-20,8050,223160297800,27415270,1635
3,경방,8050,8330,7810,70,2024-05-17,7980,220692923500,27415270,8759
4,경방,7980,8040,7740,170,2024-05-16,7750,218773854600,27415270,11305
5,경방,7810,7900,7730,-90,2024-05-14,7830,214113258700,27415270,6222
6,경방,7900,7910,7610,200,2024-05-13,7700,216580633000,27415270,3378
7,경방,7700,7800,7650,-40,2024-05-10,7740,211097579000,27415270,4449
8,경방,7740,7900,7680,-10,2024-05-09,7750,212194189800,27415270,1358
9,경방,7750,7870,7700,10,2024-05-08,7740,212468342500,27415270,1485
10,경방,7740,7750,7580,40,2024-05-07,7700,212194189800,27415270,4570
11,경방,7700,7750,7560,80,2024-05-03,7740,211097579000,27415270,5082
12,경방,7620,7740,7560,-10,2024-05-02,7600,208904357400,27415270,3230
13,경방,7630,7750,7540,-10,2024-04-30,7610,209178510100,27415270,6240
14,경방,7640,7830,7500,90,2024-04-29,7780,209452662800,27415270,2148
15,경방,7550,7700,7510,-60,2024-04-26,7700,206985288500,27415270,1173
16,경방,7610,7850,7550,-110,2024-04-25,7850,208630204700,27415270,8091
17,경방,7720,7900,7700,-60,2024-04-24,7780,211645884400,27415270,2180
18,경방,7780,7850,7680,120,2024-04-23,7690,213290800600,27415270,911
19,경방,7660,7860,7650,10,2024-04-22,7850,210000968200,27415270,3831
20,경방,7650,7910,7370,-250,2024-04-19,7910,209726815500,27415270,7137
21,경방,7900,7910,7700,200,2024-04-18,7700,216580633000,27415270,2107
22,경방,7700,7880,7650,-60,2024-04-17,7700,211097579000,27415270,4381
23,경방,7760,8000,7750,-40,2024-04-16,7800,212742495200,27415270,7925
24,경방,7800,8000,7710,-120,2024-04-15,7890,213839106000,27415270,2765
