id,itmsNm,clpr,hipr,lopr,vs,basDt,mkp,mrktTotAmt,lstgStCnt,trqu
1,국보,2110,0,0,0,2024-05-21,0,33456978680,15856388,0
2,국보,2110,0,0,0,2024-05-20,0,33456978680,15856388,0
3,국보,2110,0,0,0,2024-05-17,0,33456978680,15856388,0
4,국보,2110,0,0,0,2024-05-16,0,33456978680,15856388,0
5,국보,2110,0,0,0,2024-05-14,0,33456978680,15856388,0
6,국보,2110,0,0,0,2024-05-13,0,33456978680,15856388,0
7,국보,2110,0,0,0,2024-05-10,0,33456978680,15856388,0
8,국보,2110,0,0,0,2024-05-09,0,33456978680,15856388,0
9,국보,2110,0,0,0,2024-05-08,0,33456978680,15856388,0
10,국보,2110,0,0,0,2024-05-07,0,33456978680,15856388,0
11,국보,2110,0,0,0,2024-05-03,0,33456978680,15856388,0
12,국보,2110,0,0,0,2024-05-02,0,32447620090,15378019,0
13,국보,2110,0,0,0,2024-04-30,0,32447620090,15378019,0
14,국보,2110,0,0,0,2024-04-29,0,32447620090,15378019,0
15,국보,2110,0,0,0,2024-04-26,0,32447620090,15378019,0
16,국보,2110,0,0,0,2024-04-25,0,32447620090,15378019,0
17,국보,2110,0,0,0,2024-04-24,0,32447620090,15378019,0
18,국보,2110,0,0,0,2024-04-23,0,32447620090,15378019,0
19,국보,2110,0,0,0,2024-04-22,0,32447620090,15378019,0
20,국보,2110,0,0,0,2024-04-19,0,32447620090,15378019,0
21,국보,2110,0,0,0,2024-04-18,0,32447620090,15378019,0
22,국보,2110,0,0,0,2024-04-17,0,32447620090,15378019,0
23,국보,2110,0,0,0,2024-04-16,0,32447620090,15378019,0
24,국보,2110,0,0,0,2024-04-15,0,32447620090,15378019,0
