id,itmsNm,clpr,hipr,lopr,vs,basDt,mkp,mrktTotAmt,lstgStCnt,trqu
1,금호전기,740,750,740,-10,2024-05-21,750,28171584660,38069709,59248
2,금호전기,750,755,741,8,2024-05-20,742,28552281750,38069709,87584
3,금호전기,742,763,740,-16,2024-05-17,758,28247724078,38069709,118850
4,금호전기,758,770,742,6,2024-05-16,752,28856839422,38069709,251147
5,금호전기,752,760,743,0,2024-05-14,752,28628421168,38069709,170771
6,금호전기,752,769,734,13,2024-05-13,739,28628421168,38069709,352395
7,금호전기,739,744,730,12,2024-05-10,734,28133514951,38069709,162112
8,금호전기,727,735,721,-3,2024-05-09,723,27676678443,38069709,127604
9,금호전기,730,734,716,0,2024-05-08,724,27790887570,38069709,140223
10,금호전기,730,746,716,9,2024-05-07,716,27790887570,38069709,191229
11,금호전기,721,736,716,-16,2024-05-03,736,27448260189,38069709,82044
12,금호전기,737,750,711,22,2024-05-02,711,28057375533,38069709,416253
13,금호전기,715,719,710,1,2024-04-30,714,27219841935,38069709,101512
14,금호전기,714,719,702,5,2024-04-29,709,27181772226,38069709,99030
15,금호전기,709,711,700,4,2024-04-26,705,26991423681,38069709,94057
16,금호전기,705,713,703,-2,2024-04-25,707,26839144845,38069709,44552
17,금호전기,707,718,706,-1,2024-04-24,709,26915284263,38069709,126465
18,금호전기,708,717,707,-9,2024-04-23,710,26953353972,38069709,57965
19,금호전기,717,727,710,-17,2024-04-22,727,27295981353,38069709,52862
20,금호전기,734,740,706,19,2024-04-19,715,27755683722,37814283,167510
21,금호전기,715,715,704,6,2024-04-18,707,27037212345,37814283,91539
22,금호전기,709,715,704,1,2024-04-17,708,26810326647,37814283,96436
23,금호전기,708,715,703,-3,2024-04-16,713,26772512364,37814283,182085
24,금호전기,711,716,705,-6,2024-04-15,716,26885955213,37814283,148078
