id,itmsNm,clpr,hipr,lopr,vs,basDt,mkp,mrktTotAmt,lstgStCnt,trqu
1,기아,114400,115000,113800,-500,2024-05-21,114900,45993856823200,402044203,695579
2,기아,114900,116500,113000,2200,2024-05-20,113400,46194878924700,402044203,850630
3,기아,112700,115900,112500,-2000,2024-05-17,115100,45310381678100,402044203,1087425
4,기아,114700,115500,113400,800,2024-05-16,114900,46114470084100,402044203,963262
5,기아,113900,115200,112500,-400,2024-05-14,114500,45792834721700,402044203,788713
6,기아,114300,115700,113300,200,2024-05-13,113900,45953652402900,402044203,935835
7,기아,114100,114500,112000,2400,2024-05-10,113500,45873243562300,402044203,1422408
8,기아,111700,116400,111200,-4300,2024-05-09,116400,44908337475100,402044203,1762344
9,기아,116000,117200,114700,300,2024-05-08,114700,46637127548000,402044203,792482
10,기아,115700,116600,114000,1800,2024-05-07,114000,46516514287100,402044203,1204913
11,기아,113900,120800,113600,-5700,2024-05-03,120300,45792834721700,402044203,1779155
12,기아,119600,119600,117500,1600,2024-05-02,118300,48084486678800,402044203,1246995
13,기아,118000,119500,117200,-300,2024-04-30,118100,47441215954000,402044203,1264927
14,기아,118300,121300,117600,100,2024-04-29,119500,47561829214900,402044203,1820652
15,기아,118200,121500,114500,1600,2024-04-26,116600,47521624794600,402044203,2705868
16,기아,116600,118000,114200,400,2024-04-25,114800,46878354069800,402044203,1708852
17,기아,116200,116800,114200,300,2024-04-24,114800,46717536388600,402044203,1178637
18,기아,115900,118300,114500,800,2024-04-23,116000,46596923127700,402044203,1392773
19,기아,115100,115500,111600,4700,2024-04-22,111600,46275287765300,402044203,1916502
20,기아,110400,113700,107800,-1800,2024-04-19,111000,44385680011200,402044203,2114673
21,기아,112200,114600,110700,-900,2024-04-18,114000,45109359576600,402044203,1665994
22,기아,113100,114900,111300,-1600,2024-04-17,114800,45471199359300,402044203,1576611
23,기아,114700,115200,112200,100,2024-04-16,113500,46114470084100,402044203,1988405
24,기아,114600,115000,107200,4800,2024-04-15,109200,46074265663800,402044203,2446762
