id,itmsNm,clpr,hipr,lopr,vs,basDt,mkp,mrktTotAmt,lstgStCnt,trqu
1,남광토건,6410,6490,6300,50,2024-05-21,6300,63026786520,9832572,6511
2,남광토건,6360,6430,6320,-30,2024-05-20,6430,62535157920,9832572,5575
3,남광토건,6390,6480,6320,120,2024-05-17,6450,62830135080,9832572,11967
4,남광토건,6270,6300,6210,60,2024-05-16,6210,61650226440,9832572,6259
5,남광토건,6210,6450,6130,20,2024-05-14,6130,61060272120,9832572,8425
6,남광토건,6190,6200,6120,60,2024-05-13,6140,60863620680,9832572,5455
7,남광토건,6130,6200,6130,-60,2024-05-10,6130,60273666360,9832572,8117
8,남광토건,6190,6250,6160,-20,2024-05-09,6210,60863620680,9832572,7793
9,남광토건,6210,6250,6170,40,2024-05-08,6190,61060272120,9832572,3838
10,남광토건,6170,6190,6150,20,2024-05-07,6180,60666969240,9832572,7754
11,남광토건,6150,6230,6100,-40,2024-05-03,6180,60470317800,9832572,8273
12,남광토건,6190,6240,6130,-50,2024-05-02,6240,60863620680,9832572,7505
13,남광토건,6240,6250,6170,50,2024-04-30,6180,61355249280,9832572,5510
14,남광토건,6190,6240,6120,50,2024-04-29,6180,60863620680,9832572,7448
15,남광토건,6140,6200,6130,-90,2024-04-26,6200,60371992080,9832572,2913
16,남광토건,6230,6290,6110,60,2024-04-25,6170,61256923560,9832572,11707
17,남광토건,6170,6230,6100,10,2024-04-24,6190,60666969240,9832572,4581
18,남광토건,6160,6290,6130,-10,2024-04-23,6170,60568643520,9832572,8281
19,남광토건,6170,6300,6000,120,2024-04-22,6000,60666969240,9832572,12072
20,남광토건,6050,6080,5970,0,2024-04-19,6050,59487060600,9832572,8351
21,남광토건,6050,6100,5660,130,2024-04-18,5920,59487060600,9832572,8938
22,남광토건,5920,5920,5850,70,2024-04-17,5850,58208826240,9832572,3744
23,남광토건,5850,6050,5850,-200,2024-04-16,6020,57520546200,9832572,12501
24,남광토건,6050,6220,6040,-170,2024-04-15,6220,59487060600,9832572,12595
