id,itmsNm,clpr,hipr,lopr,vs,basDt,mkp,mrktTotAmt,lstgStCnt,trqu
1,노루홀딩스,12590,12750,12330,-60,2024-05-21,12650,167335591090,13291151,30896
2,노루홀딩스,12650,12980,12450,-180,2024-05-20,12750,168133060150,13291151,89084
3,노루홀딩스,12830,13350,12710,20,2024-05-17,12890,170525467330,13291151,173582
4,노루홀딩스,12810,12870,12700,40,2024-05-16,12770,170259644310,13291151,12666
5,노루홀딩스,12770,12790,12580,80,2024-05-14,12700,169727998270,13291151,12673
6,노루홀딩스,12690,12790,12580,90,2024-05-13,12580,168664706190,13291151,19243
7,노루홀딩스,12600,12720,12450,-50,2024-05-10,12650,167468502600,13291151,16366
8,노루홀딩스,12650,12930,12400,-220,2024-05-09,12900,168133060150,13291151,51744
9,노루홀딩스,12870,12870,12600,180,2024-05-08,12690,171057113370,13291151,47492
10,노루홀딩스,12690,12830,12320,320,2024-05-07,12390,168664706190,13291151,103674
11,노루홀딩스,12370,12440,12190,120,2024-05-03,12250,164411537870,13291151,37038
12,노루홀딩스,12250,12400,11940,250,2024-05-02,12000,162816599750,13291151,55337
13,노루홀딩스,12000,12030,11820,120,2024-04-30,11880,159493812000,13291151,31634
14,노루홀딩스,11880,11880,11600,180,2024-04-29,11820,157898873880,13291151,26869
15,노루홀딩스,11700,11800,11580,60,2024-04-26,11680,155506466700,13291151,21705
16,노루홀딩스,11640,11700,11360,170,2024-04-25,11490,154708997640,13291151,21738
17,노루홀딩스,11470,11470,11240,180,2024-04-24,11340,152449501970,13291151,18980
18,노루홀딩스,11290,11380,11200,30,2024-04-23,11310,150057094790,13291151,11205
19,노루홀딩스,11260,11570,11190,-470,2024-04-22,11460,149658360260,13291151,68461
20,노루홀딩스,11730,12100,10920,500,2024-04-19,11240,155905201230,13291151,142067
21,노루홀딩스,11230,11270,11000,120,2024-04-18,11100,149259625730,13291151,11817
22,노루홀딩스,11110,11130,10960,20,2024-04-17,10960,147664687610,13291151,6063
23,노루홀딩스,11090,11280,10890,-190,2024-04-16,11130,147398864590,13291151,16569
24,노루홀딩스,11280,11390,10910,130,2024-04-15,11090,149924183280,13291151,12317
