id,itmsNm,clpr,hipr,lopr,vs,basDt,mkp,mrktTotAmt,lstgStCnt,trqu
1,노루홀딩스우,34900,35800,34900,-1200,2024-05-21,35700,8500209100,243559,652
2,노루홀딩스우,36100,36700,36100,-450,2024-05-20,36500,8792479900,243559,827
3,노루홀딩스우,36550,36800,36100,450,2024-05-17,36100,8902081450,243559,964
4,노루홀딩스우,36100,37900,35850,-100,2024-05-16,37500,8792479900,243559,2882
5,노루홀딩스우,36200,36700,35600,250,2024-05-14,35750,8816835800,243559,1706
6,노루홀딩스우,35950,36200,35550,550,2024-05-13,35750,8755946050,243559,488
7,노루홀딩스우,35400,36900,35350,-1500,2024-05-10,36900,8621988600,243559,1645
8,노루홀딩스우,36900,37600,36450,350,2024-05-09,36650,8987327100,243559,1614
9,노루홀딩스우,36550,37700,35850,-1000,2024-05-08,37050,8902081450,243559,3366
10,노루홀딩스우,37550,37550,34800,4050,2024-05-07,34800,9145640450,243559,7098
11,노루홀딩스우,33500,38000,33500,750,2024-05-03,33750,8159226500,243559,9828
12,노루홀딩스우,32750,33250,32300,450,2024-05-02,32300,7976557250,243559,1209
13,노루홀딩스우,32300,32350,31600,50,2024-04-30,32350,7866955700,243559,355
14,노루홀딩스우,32250,32250,31750,0,2024-04-29,31900,7854777750,243559,165
15,노루홀딩스우,32250,32350,31800,550,2024-04-26,31800,7854777750,243559,658
16,노루홀딩스우,31700,31700,31600,150,2024-04-25,31700,7720820300,243559,118
17,노루홀딩스우,31550,31600,31200,350,2024-04-24,31200,7684286450,243559,518
18,노루홀딩스우,31200,31450,30850,300,2024-04-23,30850,7599040800,243559,128
19,노루홀딩스우,30900,31550,30900,-1400,2024-04-22,31500,7525973100,243559,586
20,노루홀딩스우,32300,32300,29700,1300,2024-04-19,31400,7866955700,243559,1077
21,노루홀딩스우,31000,31250,29700,1300,2024-04-18,29700,7550329000,243559,639
22,노루홀딩스우,29700,29700,27000,2650,2024-04-17,27050,7233702300,243559,664
23,노루홀딩스우,27050,27500,27000,-800,2024-04-16,27500,6588270950,243559,282
24,노루홀딩스우,27850,28050,27500,-600,2024-04-15,28050,6783118150,243559,393
