id,itmsNm,clpr,hipr,lopr,vs,basDt,mkp,mrktTotAmt,lstgStCnt,trqu
1,대동,11100,11250,11000,-110,2024-05-21,11190,284612746800,25640788,155042
2,대동,11210,11320,11150,-130,2024-05-20,11300,287433233480,25640788,126919
3,대동,11340,11490,11210,-110,2024-05-17,11460,290766535920,25640788,149642
4,대동,11450,11740,11400,-330,2024-05-16,11730,293587022600,25640788,308773
5,대동,11780,11840,11770,-30,2024-05-14,11810,302048482640,25640788,99768
6,대동,11810,11980,11800,-120,2024-05-13,11900,302817706280,25640788,130742
7,대동,11930,12290,11860,-110,2024-05-10,12160,305894600840,25640788,259434
8,대동,12040,12220,12030,-130,2024-05-09,12160,308715087520,25640788,100687
9,대동,12170,12260,11920,150,2024-05-08,12000,312048389960,25640788,137715
10,대동,12020,12120,11980,40,2024-05-07,12010,308202271760,25640788,155616
11,대동,11980,12100,11940,20,2024-05-03,11960,307176640240,25640788,79684
12,대동,11960,12090,11900,-60,2024-05-02,12020,306663824480,25640788,82720
13,대동,12020,12250,12000,-90,2024-04-30,12120,308202271760,25640788,115291
14,대동,12110,12120,11850,240,2024-04-29,11880,310509942680,25640788,114075
15,대동,11870,12110,11870,-220,2024-04-26,12110,304356153560,25640788,155220
16,대동,12090,12440,12030,30,2024-04-25,12080,309997126920,25640788,200486
17,대동,12060,12070,11880,240,2024-04-24,11920,309227903280,25640788,148669
18,대동,11820,12060,11770,10,2024-04-23,11990,303074114160,25640788,114583
19,대동,11810,11840,11520,130,2024-04-22,11710,302817706280,25640788,114149
20,대동,11680,12160,11320,-380,2024-04-19,12160,299484403840,25640788,243739
21,대동,12060,12130,11670,360,2024-04-18,11670,309227903280,25640788,178244
22,대동,11700,12050,11680,0,2024-04-17,11700,299997219600,25640788,150792
23,대동,11700,12300,11570,-250,2024-04-16,11840,299997219600,25640788,227617
24,대동,11950,12060,11810,-200,2024-04-15,11950,306407416600,25640788,130100
