id,itmsNm,clpr,hipr,lopr,vs,basDt,mkp,mrktTotAmt,lstgStCnt,trqu
1,대원강업,5370,5400,5280,20,2024-05-21,5350,332940000000,62000000,134898
2,대원강업,5350,5460,5320,-50,2024-05-20,5370,331700000000,62000000,151268
3,대원강업,5400,5580,5350,-60,2024-05-17,5520,334800000000,62000000,249237
4,대원강업,5460,5550,5420,-40,2024-05-16,5510,338520000000,62000000,207513
5,대원강업,5500,5590,5440,-40,2024-05-14,5520,341000000000,62000000,138213
6,대원강업,5540,5590,5470,-10,2024-05-13,5520,343480000000,62000000,194936
7,대원강업,5550,5650,5450,-10,2024-05-10,5570,344100000000,62000000,154244
8,대원강업,5560,5640,5500,-40,2024-05-09,5610,344720000000,62000000,171004
9,대원강업,5600,5700,5590,10,2024-05-08,5620,347200000000,62000000,139649
10,대원강업,5590,5670,5530,-20,2024-05-07,5620,346580000000,62000000,190894
11,대원강업,5610,5720,5600,-80,2024-05-03,5670,347820000000,62000000,241000
12,대원강업,5690,5830,5680,-100,2024-05-02,5740,352780000000,62000000,262891
13,대원강업,5790,5910,5770,-80,2024-04-30,5900,358980000000,62000000,364523
14,대원강업,5870,5950,5640,210,2024-04-29,5670,363940000000,62000000,976863
15,대원강업,5660,5760,5550,-120,2024-04-26,5750,350920000000,62000000,854090
16,대원강업,5780,5780,5450,270,2024-04-25,5460,358360000000,62000000,1037861
17,대원강업,5510,5610,5450,70,2024-04-24,5510,341620000000,62000000,305706
18,대원강업,5440,5720,5400,-60,2024-04-23,5550,337280000000,62000000,493592
19,대원강업,5500,5570,5140,330,2024-04-22,5190,341000000000,62000000,516569
20,대원강업,5170,5260,5010,-50,2024-04-19,5190,320540000000,62000000,212531
21,대원강업,5220,5250,5110,80,2024-04-18,5150,323640000000,62000000,120810
22,대원강업,5140,5220,5060,30,2024-04-17,5100,318680000000,62000000,118670
23,대원강업,5110,5200,5010,-10,2024-04-16,5060,316820000000,62000000,156268
24,대원강업,5120,5190,5010,10,2024-04-15,5030,317440000000,62000000,117071
