id,itmsNm,clpr,hipr,lopr,vs,basDt,mkp,mrktTotAmt,lstgStCnt,trqu
1,대한방직,6580,6620,6550,20,2024-05-21,6560,34874000000,5300000,2501
2,대한방직,6560,6610,6540,40,2024-05-20,6590,34768000000,5300000,3401
3,대한방직,6520,6610,6520,-30,2024-05-17,6560,34556000000,5300000,1809
4,대한방직,6550,6550,6470,70,2024-05-16,6520,34715000000,5300000,1815
5,대한방직,6480,6500,6350,170,2024-05-14,6350,34344000000,5300000,3697
6,대한방직,6310,6540,6310,-140,2024-05-13,6500,33443000000,5300000,8104
7,대한방직,6450,6510,6400,20,2024-05-10,6410,34185000000,5300000,1425
8,대한방직,6430,6530,6420,-10,2024-05-09,6470,34079000000,5300000,12295
9,대한방직,6440,6550,6380,-50,2024-05-08,6520,34132000000,5300000,15201
10,대한방직,6490,6600,6490,-10,2024-05-07,6500,34397000000,5300000,4250
11,대한방직,6500,6620,6480,10,2024-05-03,6510,34450000000,5300000,1602
12,대한방직,6490,6520,6430,-10,2024-05-02,6430,34397000000,5300000,6361
13,대한방직,6500,6600,6440,-30,2024-04-30,6540,34450000000,5300000,3007
14,대한방직,6530,6600,6470,20,2024-04-29,6500,34609000000,5300000,5623
15,대한방직,6510,6590,6480,-40,2024-04-26,6530,34503000000,5300000,3759
16,대한방직,6550,6590,6420,-30,2024-04-25,6580,34715000000,5300000,3305
17,대한방직,6580,6630,6540,10,2024-04-24,6570,34874000000,5300000,6163
18,대한방직,6570,6630,6550,10,2024-04-23,6560,34821000000,5300000,2873
19,대한방직,6560,6640,6530,-40,2024-04-22,6600,34768000000,5300000,5802
20,대한방직,6600,6680,6500,-80,2024-04-19,6680,34980000000,5300000,9210
21,대한방직,6680,6720,6640,20,2024-04-18,6640,35404000000,5300000,7575
22,대한방직,6660,6840,6650,-190,2024-04-17,6790,35298000000,5300000,12911
23,대한방직,6850,6880,6780,-40,2024-04-16,6880,36305000000,5300000,3235
24,대한방직,6890,7000,6820,-50,2024-04-15,7000,36517000000,5300000,2876
