id,itmsNm,clpr,hipr,lopr,vs,basDt,mkp,mrktTotAmt,lstgStCnt,trqu
1,대한제분,140500,141900,136800,3600,2024-05-21,137000,237445000000,1690000,2932
2,대한제분,136900,142000,136800,-2900,2024-05-20,139800,231361000000,1690000,1772
3,대한제분,139800,144300,139600,200,2024-05-17,141000,236262000000,1690000,5117
4,대한제분,139600,139600,136500,2400,2024-05-16,138400,235924000000,1690000,2170
5,대한제분,137200,138200,137000,1400,2024-05-14,137800,231868000000,1690000,1156
6,대한제분,135800,135800,133700,1100,2024-05-13,134700,229502000000,1690000,533
7,대한제분,134700,137500,133800,-1300,2024-05-10,136000,227643000000,1690000,487
8,대한제분,136000,138300,129900,-1700,2024-05-09,137700,229840000000,1690000,1380
9,대한제분,137700,138000,136100,200,2024-05-08,138000,232713000000,1690000,769
10,대한제분,137500,139000,137000,300,2024-05-07,137500,232375000000,1690000,1031
11,대한제분,137200,137700,135800,0,2024-05-03,136300,231868000000,1690000,741
12,대한제분,137200,138900,136200,-300,2024-05-02,137900,231868000000,1690000,507
13,대한제분,137500,138800,136900,0,2024-04-30,138000,232375000000,1690000,1193
14,대한제분,137500,138300,136000,1000,2024-04-29,136600,232375000000,1690000,1456
15,대한제분,136500,136700,135500,1000,2024-04-26,135600,230685000000,1690000,765
16,대한제분,135500,137000,135200,-1100,2024-04-25,136600,228995000000,1690000,946
17,대한제분,136600,136800,134500,1400,2024-04-24,135200,230854000000,1690000,926
18,대한제분,135200,135300,125500,3900,2024-04-23,131300,228488000000,1690000,2224
19,대한제분,131300,131500,129000,1800,2024-04-22,129500,221897000000,1690000,1575
20,대한제분,129500,129600,127700,100,2024-04-19,129600,218855000000,1690000,2237
21,대한제분,129400,130500,128000,500,2024-04-18,129100,218686000000,1690000,983
22,대한제분,128900,131500,128600,0,2024-04-17,129600,217841000000,1690000,266
23,대한제분,128900,130500,128900,-1900,2024-04-16,129000,217841000000,1690000,621
24,대한제분,130800,130900,127000,1000,2024-04-15,129900,221052000000,1690000,590
