id,itmsNm,clpr,hipr,lopr,vs,basDt,mkp,mrktTotAmt,lstgStCnt,trqu
1,동국홀딩스,8380,8550,8360,-150,2024-05-21,8540,266488047540,31800483,102758
2,동국홀딩스,8530,8580,8500,-30,2024-05-20,8560,271258119990,31800483,35117
3,동국홀딩스,8560,8700,8490,-70,2024-05-17,8570,272212134480,31800483,87184
4,동국홀딩스,8630,8790,8600,-50,2024-05-16,8730,274438168290,31800483,82234
5,동국홀딩스,8680,8680,8500,130,2024-05-14,8520,276028192440,31800483,93362
6,동국홀딩스,8550,8590,8480,40,2024-05-13,8500,271894129650,31800483,81215
7,동국홀딩스,8510,8570,8440,-10,2024-05-10,8550,270622110330,31800483,100445
8,동국홀딩스,8520,8570,8450,0,2024-05-09,8500,270940115160,31800483,96106
9,동국홀딩스,8520,8660,8450,0,2024-05-08,8450,270940115160,31800483,93407
10,동국홀딩스,8520,8550,8360,210,2024-05-07,8400,270940115160,31800483,182110
11,동국홀딩스,8310,8480,8260,-80,2024-05-03,8320,264262013730,31800483,67495
12,동국홀딩스,8390,8430,8250,-20,2024-05-02,8360,266806052370,31800483,81034
13,동국홀딩스,8410,8540,8380,-20,2024-04-30,8450,267442062030,31800483,125419
14,동국홀딩스,8430,8440,8310,100,2024-04-29,8310,268078071690,31800483,111650
15,동국홀딩스,8330,8400,8300,40,2024-04-26,8350,264898023390,31800483,67343
16,동국홀딩스,8290,8420,8150,0,2024-04-25,8290,263626004070,31800483,74716
17,동국홀딩스,8290,8360,8210,0,2024-04-24,8290,263626004070,31800483,115384
18,동국홀딩스,8290,8360,8240,-10,2024-04-23,8300,263626004070,31800483,61603
19,동국홀딩스,8300,8340,8210,90,2024-04-22,8210,263944008900,31800483,46422
20,동국홀딩스,8210,8230,8030,60,2024-04-19,8200,261081965430,31800483,110011
21,동국홀딩스,8150,8370,8050,100,2024-04-18,8050,259173936450,31800483,169643
22,동국홀딩스,8050,8130,7980,20,2024-04-17,8110,255993888150,31800483,86365
23,동국홀딩스,8030,8220,8000,-70,2024-04-16,8020,255357878490,31800483,168330
24,동국홀딩스,8100,8130,7880,30,2024-04-15,7990,257583912300,31800483,60816
