id,itmsNm,clpr,hipr,lopr,vs,basDt,mkp,mrktTotAmt,lstgStCnt,trqu
1,동아쏘시오홀딩스,106800,107500,105100,-300,2024-05-21,107200,678063908400,6348913,2938
2,동아쏘시오홀딩스,107100,108800,106100,-1300,2024-05-20,108800,679968582300,6348913,2602
3,동아쏘시오홀딩스,108400,108700,107100,500,2024-05-17,108600,688222169200,6348913,2862
4,동아쏘시오홀딩스,107900,108500,106500,1000,2024-05-16,106900,685047712700,6348913,5420
5,동아쏘시오홀딩스,106900,107300,105300,1100,2024-05-14,105400,678698799700,6348913,12988
6,동아쏘시오홀딩스,105800,106300,105000,300,2024-05-13,106300,671714995400,6348913,5367
7,동아쏘시오홀딩스,105500,107500,105300,-2000,2024-05-10,106800,669810321500,6348913,8212
8,동아쏘시오홀딩스,107500,108300,106000,200,2024-05-09,107300,682508147500,6348913,7341
9,동아쏘시오홀딩스,107300,107800,106400,-300,2024-05-08,107800,681238364900,6348913,4497
10,동아쏘시오홀딩스,107600,109400,107100,-1800,2024-05-07,109400,683143038800,6348913,5857
11,동아쏘시오홀딩스,109400,110300,107000,100,2024-05-03,109800,694571082200,6348913,9715
12,동아쏘시오홀딩스,109300,111200,109000,-1200,2024-05-02,111200,693936190900,6348913,9254
13,동아쏘시오홀딩스,110500,113000,110300,-1100,2024-04-30,111600,701554886500,6348913,10977
14,동아쏘시오홀딩스,111600,112300,110200,-700,2024-04-29,111000,708538690800,6348913,6421
15,동아쏘시오홀딩스,112300,114200,112300,-1700,2024-04-26,112600,712982929900,6348913,3009
16,동아쏘시오홀딩스,114000,115200,112900,-400,2024-04-25,115200,723776082000,6348913,1364
17,동아쏘시오홀딩스,114400,114400,113000,400,2024-04-24,114300,726315647200,6348913,1073
18,동아쏘시오홀딩스,114000,114600,112400,300,2024-04-23,114000,723776082000,6348913,1571
19,동아쏘시오홀딩스,113700,115400,112500,-500,2024-04-22,114200,721871408100,6348913,2259
20,동아쏘시오홀딩스,114200,116000,113400,-1700,2024-04-19,116000,725045864600,6348913,2082
21,동아쏘시오홀딩스,115900,115900,112300,2700,2024-04-18,112300,735839016700,6348913,4873
22,동아쏘시오홀딩스,113200,115100,112900,400,2024-04-17,112900,718696951600,6348913,1810
23,동아쏘시오홀딩스,112800,115200,110000,0,2024-04-16,112800,716157386400,6348913,5716
24,동아쏘시오홀딩스,112800,115000,112500,-2700,2024-04-15,114400,716157386400,6348913,3178
