id,itmsNm,clpr,hipr,lopr,vs,basDt,mkp,mrktTotAmt,lstgStCnt,trqu
1,동화약품,8510,8620,8500,-70,2024-05-21,8610,237696809700,27931470,29469
2,동화약품,8580,8700,8550,-50,2024-05-20,8640,239652012600,27931470,39224
3,동화약품,8630,8690,8570,-50,2024-05-17,8690,241048586100,27931470,27170
4,동화약품,8680,8710,8610,60,2024-05-16,8640,242445159600,27931470,28240
5,동화약품,8620,8660,8560,60,2024-05-14,8560,240769271400,27931470,28382
6,동화약품,8560,8700,8550,-80,2024-05-13,8700,239093383200,27931470,44814
7,동화약품,8640,8740,8600,-30,2024-05-10,8670,241327900800,27931470,38724
8,동화약품,8670,8830,8660,-100,2024-05-09,8780,242165844900,27931470,36197
9,동화약품,8770,8790,8710,60,2024-05-08,8710,244958991900,27931470,39157
10,동화약품,8710,8850,8630,30,2024-05-07,8710,243283103700,27931470,38599
11,동화약품,8680,8800,8660,-20,2024-05-03,8770,242445159600,27931470,26024
12,동화약품,8700,8780,8670,-20,2024-05-02,8750,243003789000,27931470,29311
13,동화약품,8720,8800,8710,-30,2024-04-30,8750,243562418400,27931470,17478
14,동화약품,8750,8850,8670,50,2024-04-29,8710,244400362500,27931470,24527
15,동화약품,8700,8810,8650,-40,2024-04-26,8800,243003789000,27931470,29465
16,동화약품,8740,8770,8660,30,2024-04-25,8740,244121047800,27931470,17158
17,동화약품,8710,8730,8640,70,2024-04-24,8690,243283103700,27931470,18221
18,동화약품,8640,8750,8610,-60,2024-04-23,8740,241327900800,27931470,47912
19,동화약품,8700,8730,8500,230,2024-04-22,8500,243003789000,27931470,45578
20,동화약품,8470,8600,8340,-70,2024-04-19,8570,236579550900,27931470,39229
21,동화약품,8540,8620,8390,180,2024-04-18,8400,238534753800,27931470,31784
22,동화약품,8360,8490,8360,-40,2024-04-17,8400,233507089200,27931470,40378
23,동화약품,8400,8580,8340,-190,2024-04-16,8580,234624348000,27931470,82191
24,동화약품,8590,8750,8570,-210,2024-04-15,8700,239931327300,27931470,67692
