id,itmsNm,clpr,hipr,lopr,vs,basDt,mkp,mrktTotAmt,lstgStCnt,trqu
1,두산2우B,78000,78300,77200,-300,2024-05-21,78300,69656964000,893038,172
2,두산2우B,78300,78500,75500,-100,2024-05-20,78500,69924875400,893038,510
3,두산2우B,78400,81300,78400,-3100,2024-05-17,81300,70014179200,893038,619
4,두산2우B,81500,81500,78100,2800,2024-05-16,79400,72782597000,893038,1262
5,두산2우B,78700,79900,78500,-1300,2024-05-14,79700,70282090600,893038,282
6,두산2우B,80000,80700,77700,1700,2024-05-13,78500,71443040000,893038,1814
7,두산2우B,78300,79500,77500,100,2024-05-10,78400,69924875400,893038,657
8,두산2우B,78200,80200,78000,-100,2024-05-09,78300,69835571600,893038,789
9,두산2우B,78300,80500,76800,200,2024-05-08,78100,69924875400,893038,584
10,두산2우B,78100,80700,77700,400,2024-05-07,77700,69746267800,893038,1104
11,두산2우B,77700,78900,73500,2100,2024-05-03,75600,69389052600,893038,1621
12,두산2우B,75600,77000,74900,100,2024-05-02,75500,67513672800,893038,474
13,두산2우B,75500,76700,73700,1000,2024-04-30,74500,67424369000,893038,1807
14,두산2우B,74500,75800,73300,1500,2024-04-29,74400,66531331000,893038,996
15,두산2우B,73000,74000,71700,900,2024-04-26,72900,65191774000,893038,1059
16,두산2우B,72100,73700,72100,-200,2024-04-25,72300,64388039800,893038,384
17,두산2우B,72300,73800,71400,1600,2024-04-24,72000,64566647400,893038,334
18,두산2우B,70700,73000,70700,-600,2024-04-23,71900,63137786600,893038,602
19,두산2우B,71300,71900,69000,1100,2024-04-22,69000,63673609400,893038,652
20,두산2우B,70200,74000,68100,-2700,2024-04-19,72900,62691267600,893038,1312
21,두산2우B,72900,74000,71800,100,2024-04-18,72800,65102470200,893038,2261
22,두산2우B,72800,74000,71200,1200,2024-04-17,73000,65013166400,893038,529
23,두산2우B,71600,75800,70400,-3900,2024-04-16,75500,63941520800,893038,1996
24,두산2우B,75500,78500,75000,-3500,2024-04-15,78500,67424369000,893038,922
