id,itmsNm,clpr,hipr,lopr,vs,basDt,mkp,mrktTotAmt,lstgStCnt,trqu
1,두산,164000,169000,162600,1200,2024-05-21,165000,2709908940000,16523835,91171
2,두산,162800,166900,161900,-2200,2024-05-20,166900,2690080338000,16523835,84885
3,두산,165000,174000,163000,-9700,2024-05-17,174000,2726432775000,16523835,124600
4,두산,174700,174900,165500,11800,2024-05-16,167100,2886713974500,16523835,159041
5,두산,162900,170000,162800,-7500,2024-05-14,170000,2691732721500,16523835,137024
6,두산,170400,172000,162000,9100,2024-05-13,162900,2815661484000,16523835,150432
7,두산,161300,169200,161000,-900,2024-05-10,162200,2665294585500,16523835,87343
8,두산,162200,168400,157000,2200,2024-05-09,159200,2680166037000,16523835,172191
9,두산,160000,161600,155300,0,2024-05-08,159900,2643813600000,16523835,100342
10,두산,160000,166500,158600,5800,2024-05-07,158800,2643813600000,16523835,184751
11,두산,154200,160000,141100,8100,2024-05-03,147600,2547975357000,16523835,266756
12,두산,146100,154100,145200,-6200,2024-05-02,152300,2414132293500,16523835,127868
13,두산,152300,155000,145300,6200,2024-04-30,146200,2516580070500,16523835,190855
14,두산,146100,149000,139000,8500,2024-04-29,139000,2414132293500,16523835,177549
15,두산,137600,140400,134800,2600,2024-04-26,137000,2273679696000,16523835,78979
16,두산,135000,143000,134500,-2000,2024-04-25,135700,2230717725000,16523835,88702
17,두산,137000,140000,131400,4100,2024-04-24,135800,2263765395000,16523835,253293
18,두산,132900,135700,130800,-500,2024-04-23,134900,2196017671500,16523835,88758
19,두산,133400,134300,128300,1700,2024-04-22,133000,2204279589000,16523835,175111
20,두산,131700,139300,125000,-9300,2024-04-19,138500,2176189069500,16523835,277851
21,두산,141000,146400,135600,1600,2024-04-18,138100,2329860735000,16523835,182798
22,두산,139400,144400,136200,-1000,2024-04-17,143100,2303422599000,16523835,121391
23,두산,140400,153500,137000,-15700,2024-04-16,152900,2319946434000,16523835,306497
24,두산,156100,162000,152900,-7900,2024-04-15,161900,2579370643500,16523835,187171
