id,itmsNm,clpr,hipr,lopr,vs,basDt,mkp,mrktTotAmt,lstgStCnt,trqu
1,두산우,73400,74100,72300,0,2024-05-21,72500,293340310800,3996462,5066
2,두산우,73400,74000,72100,-100,2024-05-20,74000,293340310800,3996462,6045
3,두산우,73500,75100,72900,-1900,2024-05-17,75100,293739957000,3996462,4378
4,두산우,75400,75500,71400,3400,2024-05-16,73300,301333234800,3996462,21978
5,두산우,72000,73200,71300,-500,2024-05-14,72600,287745264000,3996462,6229
6,두산우,72500,73500,69000,2800,2024-05-13,70900,289743495000,3996462,25135
7,두산우,69700,73500,68200,-2300,2024-05-10,72100,278553401400,3996462,26535
8,두산우,72000,74000,71300,-100,2024-05-09,71700,287745264000,3996462,13965
9,두산우,72100,72100,69700,100,2024-05-08,71800,288144910200,3996462,8598
10,두산우,72000,73800,71600,1100,2024-05-07,71900,287745264000,3996462,11758
11,두산우,70900,71100,66000,3200,2024-05-03,68100,283349155800,3996462,15180
12,두산우,67700,68900,67100,-700,2024-05-02,68200,270560477400,3996462,2662
13,두산우,68400,70500,67600,600,2024-04-30,67600,273358000800,3996462,6437
14,두산우,67800,69300,66600,1700,2024-04-29,67100,270960123600,3996462,7367
15,두산우,66100,66600,65100,800,2024-04-26,66000,264166138200,3996462,4994
16,두산우,65300,66900,65000,-500,2024-04-25,65500,260968968600,3996462,2523
17,두산우,65800,66700,64000,1800,2024-04-24,65000,262967199600,3996462,7462
18,두산우,64000,65900,62900,900,2024-04-23,63600,255773568000,3996462,8780
19,두산우,63100,64900,62400,-500,2024-04-22,64800,252176752200,3996462,4435
20,두산우,63600,66000,62700,-3000,2024-04-19,65900,254174983200,3996462,9423
21,두산우,66600,66900,64700,1200,2024-04-18,65300,266164369200,3996462,3065
22,두산우,65400,66200,63900,100,2024-04-17,65100,261368614800,3996462,8323
23,두산우,65300,71000,63900,-4000,2024-04-16,68600,260968968600,3996462,18342
24,두산우,69300,71000,68100,-1800,2024-04-15,71000,276954816600,3996462,12091
