id,itmsNm,clpr,hipr,lopr,vs,basDt,mkp,mrktTotAmt,lstgStCnt,trqu
1,로스웰,800,814,788,1,2024-05-21,800,28825030400,36031288,74245
2,로스웰,799,817,797,-4,2024-05-20,803,28788999112,36031288,37755
3,로스웰,803,828,799,-9,2024-05-17,828,28933124264,36031288,80854
4,로스웰,812,833,807,-3,2024-05-16,817,29257405856,36031288,99394
5,로스웰,815,836,813,-6,2024-05-14,814,29365499720,36031288,75768
6,로스웰,821,837,811,2,2024-05-13,819,29581687448,36031288,63885
7,로스웰,819,839,767,29,2024-05-10,785,29509624872,36031288,271867
8,로스웰,790,802,788,-8,2024-05-09,799,28464717520,36031288,49434
9,로스웰,798,815,790,0,2024-05-08,806,28752967824,36031288,64311
10,로스웰,798,802,781,7,2024-05-07,791,28752967824,36031288,88040
11,로스웰,791,802,785,6,2024-05-03,785,28500748808,36031288,16756
12,로스웰,785,799,779,-14,2024-05-02,782,28284561080,36031288,97799
13,로스웰,799,800,780,13,2024-04-30,786,28788999112,36031288,53010
14,로스웰,786,837,784,2,2024-04-29,835,28320592368,36031288,84082
15,로스웰,784,785,773,1,2024-04-26,780,28248529792,36031288,44045
16,로스웰,783,800,772,-10,2024-04-25,793,28212498504,36031288,82428
17,로스웰,793,814,785,-12,2024-04-24,805,28572811384,36031288,121665
18,로스웰,805,819,788,10,2024-04-23,795,29005186840,36031288,101469
19,로스웰,795,887,787,-64,2024-04-22,859,28644873960,36031288,562289
20,로스웰,859,868,810,37,2024-04-19,852,30950876392,36031288,441272
21,로스웰,822,850,786,43,2024-04-18,786,29617718736,36031288,237994
22,로스웰,779,803,770,7,2024-04-17,770,28068373352,36031288,87385
23,로스웰,772,813,768,-35,2024-04-16,768,27816154336,36031288,108663
24,로스웰,807,813,788,-5,2024-04-15,808,29077249416,36031288,67434
