id,itmsNm,clpr,hipr,lopr,vs,basDt,mkp,mrktTotAmt,lstgStCnt,trqu
1,롯데손해보험,3410,3490,3375,-45,2024-05-21,3475,1058246851200,310336320,507481
2,롯데손해보험,3455,3530,3430,-5,2024-05-20,3460,1072211985600,310336320,736017
3,롯데손해보험,3460,3520,3400,-70,2024-05-17,3500,1073763667200,310336320,920900
4,롯데손해보험,3530,3545,3405,130,2024-05-16,3410,1095487209600,310336320,1533973
5,롯데손해보험,3400,3435,3320,25,2024-05-14,3350,1055143488000,310336320,803231
6,롯데손해보험,3375,3410,3330,-25,2024-05-13,3375,1047385080000,310336320,603070
7,롯데손해보험,3400,3515,3400,-70,2024-05-10,3450,1055143488000,310336320,1249347
8,롯데손해보험,3470,3470,3390,30,2024-05-09,3440,1076867030400,310336320,828604
9,롯데손해보험,3440,3450,3375,50,2024-05-08,3390,1067556940800,310336320,801256
10,롯데손해보험,3390,3395,3310,20,2024-05-07,3350,1052040124800,310336320,733931
11,롯데손해보험,3370,3425,3320,15,2024-05-03,3345,1045833398400,310336320,858461
12,롯데손해보험,3355,3445,3350,-110,2024-05-02,3440,1041178353600,310336320,1009668
13,롯데손해보험,3465,3485,3400,-60,2024-04-30,3480,1075315348800,310336320,1276680
14,롯데손해보험,3525,3560,3455,-5,2024-04-29,3480,1093935528000,310336320,1498656
15,롯데손해보험,3530,3730,3500,-215,2024-04-26,3705,1095487209600,310336320,3720042
16,롯데손해보험,3745,4035,3695,-50,2024-04-25,3975,1162209518400,310336320,9051864
17,롯데손해보험,3795,3960,3775,-55,2024-04-24,3810,1177726334400,310336320,10681831
18,롯데손해보험,3850,3885,3260,585,2024-04-23,3265,1194794832000,310336320,35033326
19,롯데손해보험,3265,3290,3170,75,2024-04-22,3180,1013248084800,310336320,1290153
20,롯데손해보험,3190,3325,3080,-5,2024-04-19,3215,989972860800,310336320,2051597
21,롯데손해보험,3195,3455,3135,50,2024-04-18,3145,991524542400,310336320,2547753
22,롯데손해보험,3145,3295,3130,-100,2024-04-17,3245,976007726400,310336320,857812
23,롯데손해보험,3245,3260,3145,25,2024-04-16,3185,1007041358400,310336320,815612
24,롯데손해보험,3220,3275,3140,-50,2024-04-15,3150,999282950400,310336320,893147
