id,itmsNm,clpr,hipr,lopr,vs,basDt,mkp,mrktTotAmt,lstgStCnt,trqu
1,만호제강,47150,0,0,0,2024-05-21,0,195672500000,4150000,0
2,만호제강,47150,0,0,0,2024-05-20,0,195672500000,4150000,0
3,만호제강,47150,0,0,0,2024-05-17,0,195672500000,4150000,0
4,만호제강,47150,0,0,0,2024-05-16,0,195672500000,4150000,0
5,만호제강,47150,0,0,0,2024-05-14,0,195672500000,4150000,0
6,만호제강,47150,0,0,0,2024-05-13,0,195672500000,4150000,0
7,만호제강,47150,0,0,0,2024-05-10,0,195672500000,4150000,0
8,만호제강,47150,0,0,0,2024-05-09,0,195672500000,4150000,0
9,만호제강,47150,0,0,0,2024-05-08,0,195672500000,4150000,0
10,만호제강,47150,0,0,0,2024-05-07,0,195672500000,4150000,0
11,만호제강,47150,0,0,0,2024-05-03,0,195672500000,4150000,0
12,만호제강,47150,0,0,0,2024-05-02,0,195672500000,4150000,0
13,만호제강,47150,0,0,0,2024-04-30,0,195672500000,4150000,0
14,만호제강,47150,0,0,0,2024-04-29,0,195672500000,4150000,0
15,만호제강,47150,0,0,0,2024-04-26,0,195672500000,4150000,0
16,만호제강,47150,0,0,0,2024-04-25,0,195672500000,4150000,0
17,만호제강,47150,0,0,0,2024-04-24,0,195672500000,4150000,0
18,만호제강,47150,0,0,0,2024-04-23,0,195672500000,4150000,0
19,만호제강,47150,0,0,0,2024-04-22,0,195672500000,4150000,0
20,만호제강,47150,0,0,0,2024-04-19,0,195672500000,4150000,0
21,만호제강,47150,0,0,0,2024-04-18,0,195672500000,4150000,0
22,만호제강,47150,0,0,0,2024-04-17,0,195672500000,4150000,0
23,만호제강,47150,0,0,0,2024-04-16,0,195672500000,4150000,0
24,만호제강,47150,0,0,0,2024-04-15,0,195672500000,4150000,0
