id,itmsNm,clpr,hipr,lopr,vs,basDt,mkp,mrktTotAmt,lstgStCnt,trqu
1,백광산업,6890,7070,6820,-210,2024-05-21,7030,309487824230,44918407,399957
2,백광산업,7100,7310,7000,-210,2024-05-20,7310,318920689700,44918407,332527
3,백광산업,7310,7470,7270,-160,2024-05-17,7420,328353555170,44918407,211240
4,백광산업,7470,7470,7240,90,2024-05-16,7430,335540500290,44918407,251615
5,백광산업,7380,7450,7250,20,2024-05-14,7370,331497843660,44918407,225121
6,백광산업,7360,7680,7250,-320,2024-05-13,7680,330599475520,44918407,492780
7,백광산업,7680,7790,7670,-40,2024-05-10,7790,344973365760,44918407,224315
8,백광산업,7720,7930,7690,-200,2024-05-09,7930,346770102040,44918407,410135
9,백광산업,7920,8000,7830,-60,2024-05-08,7980,355753783440,44918407,350226
10,백광산업,7980,8150,7940,-20,2024-05-07,8070,358448887860,44918407,343007
11,백광산업,8000,8160,7900,70,2024-05-03,7970,359347256000,44918407,496248
12,백광산업,7930,8220,7700,70,2024-05-02,7860,356202967510,44918407,702485
13,백광산업,7860,7980,7550,230,2024-04-30,7650,353058679020,44918407,562892
14,백광산업,7630,7900,7560,-170,2024-04-29,7900,342727445410,44918407,499837
15,백광산업,7800,8100,7790,-210,2024-04-26,8060,350363574600,44918407,637570
16,백광산업,8010,8150,7940,-10,2024-04-25,8030,359796440070,44918407,596269
17,백광산업,8020,8300,7700,-140,2024-04-24,8280,360245624140,44918407,1292541
18,백광산업,8160,8250,7200,140,2024-04-23,7770,366534201120,44918407,2531696
19,백광산업,8020,9470,7920,-1070,2024-04-22,9090,360245624140,44918407,6986970
20,백광산업,7790,0,0,0,2024-04-19,0,349914390530,44918407,0
21,백광산업,7790,0,0,0,2024-04-18,0,349914390530,44918407,0
22,백광산업,7790,0,0,0,2024-04-17,0,349914390530,44918407,0
23,백광산업,7790,0,0,0,2024-04-16,0,349914390530,44918407,0
24,백광산업,7790,0,0,0,2024-04-15,0,349914390530,44918407,0
