id,itmsNm,clpr,hipr,lopr,vs,basDt,mkp,mrktTotAmt,lstgStCnt,trqu
1,보해양조,495,496,488,3,2024-05-21,492,68864463855,139120129,276665
2,보해양조,492,493,486,6,2024-05-20,486,68447103468,139120129,120664
3,보해양조,486,494,485,-5,2024-05-17,490,67612382694,139120129,265009
4,보해양조,491,493,486,0,2024-05-16,491,68307983339,139120129,184428
5,보해양조,491,494,481,4,2024-05-14,484,68307983339,139120129,383977
6,보해양조,487,489,484,-2,2024-05-13,488,67751502823,139120129,127043
7,보해양조,489,490,485,1,2024-05-10,490,68029743081,139120129,196685
8,보해양조,488,489,485,1,2024-05-09,487,67890622952,139120129,116405
9,보해양조,487,489,482,5,2024-05-08,482,67751502823,139120129,173945
10,보해양조,482,486,481,1,2024-05-07,484,67055902178,139120129,160885
11,보해양조,481,487,480,0,2024-05-03,484,66916782049,139120129,215043
12,보해양조,481,486,480,-1,2024-05-02,486,66916782049,139120129,159153
13,보해양조,482,486,480,-2,2024-04-30,480,67055902178,139120129,271290
14,보해양조,484,488,481,1,2024-04-29,486,67334142436,139120129,189112
15,보해양조,483,485,479,-1,2024-04-26,483,67195022307,139120129,180387
16,보해양조,484,486,481,0,2024-04-25,484,67334142436,139120129,55227
17,보해양조,484,486,481,0,2024-04-24,482,67334142436,139120129,182966
18,보해양조,484,490,480,-4,2024-04-23,488,67334142436,139120129,529400
19,보해양조,488,494,486,-1,2024-04-22,489,67890622952,139120129,133084
20,보해양조,489,495,485,-3,2024-04-19,495,68029743081,139120129,276309
21,보해양조,492,494,485,4,2024-04-18,485,68447103468,139120129,132091
22,보해양조,488,491,485,1,2024-04-17,487,67890622952,139120129,112907
23,보해양조,487,495,485,-8,2024-04-16,495,67751502823,139120129,263753
24,보해양조,495,496,487,0,2024-04-15,491,68864463855,139120129,510560
