id,itmsNm,clpr,hipr,lopr,vs,basDt,mkp,mrktTotAmt,lstgStCnt,trqu
1,부국증권우,20950,21250,20900,50,2024-05-21,21250,62850000000,3000000,197
2,부국증권우,20900,21000,20850,0,2024-05-20,21000,62700000000,3000000,1532
3,부국증권우,20900,21000,20850,-50,2024-05-17,21000,62700000000,3000000,1510
4,부국증권우,20950,21000,20850,100,2024-05-16,20850,62850000000,3000000,60
5,부국증권우,20850,20850,20850,50,2024-05-14,20850,62550000000,3000000,29
6,부국증권우,20800,20850,20700,50,2024-05-13,20700,62400000000,3000000,292
7,부국증권우,20750,20850,20750,-100,2024-05-10,20850,62250000000,3000000,221
8,부국증권우,20850,20850,20750,100,2024-05-09,20750,62550000000,3000000,841
9,부국증권우,20750,20850,20750,0,2024-05-08,20850,62250000000,3000000,1040
10,부국증권우,20750,20900,20750,-50,2024-05-07,20800,62250000000,3000000,176
11,부국증권우,20800,20850,20800,50,2024-05-03,20850,62400000000,3000000,40
12,부국증권우,20750,20800,20750,0,2024-05-02,20800,62250000000,3000000,1967
13,부국증권우,20750,20750,20750,0,2024-04-30,20750,62250000000,3000000,5155
14,부국증권우,20750,20750,20500,250,2024-04-29,20500,62250000000,3000000,186
15,부국증권우,20500,20700,20350,150,2024-04-26,20700,61500000000,3000000,514
16,부국증권우,20350,20750,20350,0,2024-04-25,20750,61050000000,3000000,164
17,부국증권우,20350,20500,20350,-100,2024-04-24,20500,61050000000,3000000,136
18,부국증권우,20450,20900,20450,-150,2024-04-23,20900,61350000000,3000000,126
19,부국증권우,20600,20600,20450,100,2024-04-22,20500,61800000000,3000000,239
20,부국증권우,20500,20500,20250,150,2024-04-19,20350,61500000000,3000000,1293
21,부국증권우,20350,20400,20300,50,2024-04-18,20350,61050000000,3000000,243
22,부국증권우,20300,20300,20250,0,2024-04-17,20300,60900000000,3000000,723
23,부국증권우,20300,20350,20300,-50,2024-04-16,20350,60900000000,3000000,300
24,부국증권우,20350,20400,20250,-100,2024-04-15,20400,61050000000,3000000,907
