id,itmsNm,clpr,hipr,lopr,vs,basDt,mkp,mrktTotAmt,lstgStCnt,trqu
1,삼부토건,1591,1609,1565,-7,2024-05-21,1577,337352063432,212037752,1596844
2,삼부토건,1598,1603,1573,-7,2024-05-20,1600,338836327696,212037752,2014036
3,삼부토건,1605,1625,1470,-122,2024-05-17,1555,340320591960,212037752,6819897
4,삼부토건,1727,1736,1668,38,2024-05-16,1703,366189197704,212037752,4978577
5,삼부토건,1689,1723,1621,73,2024-05-14,1635,358131763128,212037752,5471573
6,삼부토건,1616,1697,1611,-54,2024-05-13,1672,342653007232,212037752,2883423
7,삼부토건,1670,1686,1619,0,2024-05-10,1671,354103045840,212037752,3714930
8,삼부토건,1670,1775,1570,98,2024-05-09,1572,354103045840,212037752,14349588
9,삼부토건,1572,1640,1534,33,2024-05-08,1548,333323346144,212037752,4198870
10,삼부토건,1539,1554,1502,21,2024-05-07,1519,326326100328,212037752,2363010
11,삼부토건,1518,1575,1513,-36,2024-05-03,1554,321873307536,212037752,2614875
12,삼부토건,1554,1639,1550,-25,2024-05-02,1580,317418880716,204259254,6615166
13,삼부토건,1579,1659,1406,179,2024-04-30,1412,322525362066,204259254,27146500
14,삼부토건,1400,1465,1339,64,2024-04-29,1339,285962955600,204259254,6822815
15,삼부토건,1336,1380,1322,-13,2024-04-26,1351,272890363344,204259254,2706692
16,삼부토건,1349,1400,1348,-54,2024-04-25,1399,275545733646,204259254,3360401
17,삼부토건,1403,1415,1261,51,2024-04-24,1346,286575733362,204259254,8154095
18,삼부토건,1352,1660,1245,-333,2024-04-23,1640,276158511408,204259254,26106239
19,삼부토건,1685,1748,1621,67,2024-04-22,1621,344176842990,204259254,5720569
20,삼부토건,1618,1649,1600,-19,2024-04-19,1646,330491472972,204259254,2220543
21,삼부토건,1637,1644,1605,15,2024-04-18,1620,334372398798,204259254,1514477
22,삼부토건,1622,1676,1622,-43,2024-04-17,1666,331308509988,204259254,2101521
23,삼부토건,1665,1690,1614,7,2024-04-16,1645,340091657910,204259254,2784815
24,삼부토건,1658,1679,1610,-43,2024-04-15,1649,338661843132,204259254,3267243
