id,itmsNm,clpr,hipr,lopr,vs,basDt,mkp,mrktTotAmt,lstgStCnt,trqu
1,삼성제약,1663,1691,1650,-18,2024-05-21,1691,156591537377,94162079,271833
2,삼성제약,1681,1703,1678,-12,2024-05-20,1693,158286454799,94162079,213068
3,삼성제약,1693,1696,1682,2,2024-05-17,1682,159416399747,94162079,136590
4,삼성제약,1691,1713,1690,-9,2024-05-16,1702,159228075589,94162079,194537
5,삼성제약,1700,1709,1688,4,2024-05-14,1690,160075534300,94162079,118669
6,삼성제약,1696,1700,1685,-4,2024-05-13,1699,159698885984,94162079,157973
7,삼성제약,1700,1706,1690,-3,2024-05-10,1705,160075534300,94162079,181884
8,삼성제약,1703,1706,1695,1,2024-05-09,1702,160358020537,94162079,116178
9,삼성제약,1702,1704,1685,7,2024-05-08,1693,160263858458,94162079,173296
10,삼성제약,1695,1704,1689,-16,2024-05-07,1699,159604723905,94162079,244422
11,삼성제약,1711,1721,1701,-4,2024-05-03,1715,161111317169,94162079,107227
12,삼성제약,1715,1730,1700,-3,2024-05-02,1712,161487965485,94162079,144688
13,삼성제약,1718,1722,1683,29,2024-04-30,1697,161770451722,94162079,235370
14,삼성제약,1689,1697,1684,5,2024-04-29,1684,159039751431,94162079,106839
15,삼성제약,1684,1691,1668,5,2024-04-26,1679,158568941036,94162079,153667
16,삼성제약,1679,1679,1651,10,2024-04-25,1669,158098130641,94162079,130727
17,삼성제약,1669,1680,1655,12,2024-04-24,1680,157156509851,94162079,211586
18,삼성제약,1657,1668,1625,22,2024-04-23,1635,156026564903,94162079,160429
19,삼성제약,1635,1641,1611,27,2024-04-22,1611,153954999165,94162079,181460
20,삼성제약,1608,1629,1593,-24,2024-04-19,1629,151412623032,94162079,275358
21,삼성제약,1632,1639,1595,30,2024-04-18,1600,153672512928,94162079,299390
22,삼성제약,1602,1633,1597,-10,2024-04-17,1601,150847650558,94162079,204081
23,삼성제약,1612,1633,1609,-29,2024-04-16,1625,151789271348,94162079,251833
24,삼성제약,1641,1694,1600,-53,2024-04-15,1694,154519971639,94162079,368690
