id,itmsNm,clpr,hipr,lopr,vs,basDt,mkp,mrktTotAmt,lstgStCnt,trqu
1,삼성화재,374000,374000,367000,500,2024-05-21,368500,17718189038000,47374837,74858
2,삼성화재,373500,374500,362500,2500,2024-05-20,365500,17694501619500,47374837,79439
3,삼성화재,371000,380000,365500,1000,2024-05-17,373000,17576064527000,47374837,139260
4,삼성화재,370000,375000,338000,33500,2024-05-16,338000,17528689690000,47374837,293197
5,삼성화재,336500,342000,326000,1000,2024-05-14,329500,15941632650500,47374837,116911
6,삼성화재,335500,339000,329500,9000,2024-05-13,334000,15894257813500,47374837,62382
7,삼성화재,326500,331000,316500,10500,2024-05-10,319000,15467884280500,47374837,92012
8,삼성화재,316000,317500,311500,0,2024-05-09,317500,14970448492000,47374837,79348
9,삼성화재,316000,317500,310500,6000,2024-05-08,312500,14970448492000,47374837,63453
10,삼성화재,310000,311500,304000,9000,2024-05-07,309000,14686199470000,47374837,78689
11,삼성화재,301000,309500,301000,0,2024-05-03,302500,14259825937000,47374837,54230
12,삼성화재,301000,310500,300000,-9000,2024-05-02,303500,14259825937000,47374837,90932
13,삼성화재,310000,317500,308500,500,2024-04-30,309000,14686199470000,47374837,112554
14,삼성화재,309500,315000,303500,-2000,2024-04-29,304500,14662512051500,47374837,78462
15,삼성화재,311500,318000,300000,12000,2024-04-26,302000,14757261725500,47374837,83057
16,삼성화재,299500,303500,292500,2000,2024-04-25,295000,14188763681500,47374837,50561
17,삼성화재,297500,308500,297500,-10500,2024-04-24,304000,14094014007500,47374837,69670
18,삼성화재,308000,312000,301000,7500,2024-04-23,309000,14591449796000,47374837,126448
19,삼성화재,300500,303000,282000,23000,2024-04-22,282000,14236138518500,47374837,145388
20,삼성화재,277500,283000,272500,500,2024-04-19,282000,13146517267500,47374837,137845
21,삼성화재,277000,280500,275000,0,2024-04-18,278000,13122829849000,47374837,79332
22,삼성화재,277000,286500,275000,-5000,2024-04-17,285000,13122829849000,47374837,69900
23,삼성화재,282000,290500,278500,-7500,2024-04-16,289500,13359704034000,47374837,156133
24,삼성화재,289500,290000,278500,1000,2024-04-15,287500,13715015311500,47374837,62257
