id,itmsNm,clpr,hipr,lopr,vs,basDt,mkp,mrktTotAmt,lstgStCnt,trqu
1,삼성화재우,281500,284000,276000,2000,2024-05-21,279500,898548000000,3192000,20366
2,삼성화재우,279500,282000,269500,7000,2024-05-20,271500,892164000000,3192000,18735
3,삼성화재우,272500,276500,269000,0,2024-05-17,274000,869820000000,3192000,22415
4,삼성화재우,272500,277000,255000,20000,2024-05-16,255000,869820000000,3192000,55577
5,삼성화재우,252500,253000,246000,4000,2024-05-14,249500,805980000000,3192000,21502
6,삼성화재우,248500,253500,246500,1500,2024-05-13,247000,793212000000,3192000,17734
7,삼성화재우,247000,248500,239500,8000,2024-05-10,240500,788424000000,3192000,41016
8,삼성화재우,239000,242000,236000,1500,2024-05-09,237500,762888000000,3192000,11943
9,삼성화재우,237500,237500,234000,3500,2024-05-08,235500,758100000000,3192000,5695
10,삼성화재우,234000,238500,233000,-2000,2024-05-07,237000,746928000000,3192000,16229
11,삼성화재우,236000,240000,233500,-2500,2024-05-03,237500,753312000000,3192000,14482
12,삼성화재우,238500,244500,236500,-5500,2024-05-02,244000,761292000000,3192000,11371
13,삼성화재우,244000,246500,243500,-500,2024-04-30,244500,778848000000,3192000,8959
14,삼성화재우,244500,246500,239500,500,2024-04-29,241500,780444000000,3192000,14049
15,삼성화재우,244000,247500,238500,4500,2024-04-26,239500,778848000000,3192000,15792
16,삼성화재우,239500,241000,237500,-1500,2024-04-25,241000,764484000000,3192000,6016
17,삼성화재우,241000,242000,238000,4000,2024-04-24,239500,769272000000,3192000,11951
18,삼성화재우,237000,241500,234000,2500,2024-04-23,237000,756504000000,3192000,14519
19,삼성화재우,234500,237000,228000,8000,2024-04-22,228000,748524000000,3192000,14794
20,삼성화재우,226500,227500,222000,1500,2024-04-19,226500,722988000000,3192000,9725
21,삼성화재우,225000,226000,222500,500,2024-04-18,223000,718200000000,3192000,4533
22,삼성화재우,224500,228500,223000,-1000,2024-04-17,224000,716604000000,3192000,8418
23,삼성화재우,225500,230500,224000,-5500,2024-04-16,227500,719796000000,3192000,10070
24,삼성화재우,231000,231000,224500,1500,2024-04-15,229000,737352000000,3192000,12671
