id,itmsNm,clpr,hipr,lopr,vs,basDt,mkp,mrktTotAmt,lstgStCnt,trqu
1,삼양홀딩스,69500,71200,69300,-1200,2024-05-21,70800,595216834500,8564271,12834
2,삼양홀딩스,70700,71900,70300,-500,2024-05-20,71800,605493959700,8564271,17249
3,삼양홀딩스,71200,73000,69900,1300,2024-05-17,69900,609776095200,8564271,29879
4,삼양홀딩스,69900,70100,68900,1800,2024-05-16,68900,598642542900,8564271,12367
5,삼양홀딩스,68100,68200,67200,500,2024-05-14,67700,583226855100,8564271,7035
6,삼양홀딩스,67600,68000,67500,-200,2024-05-13,67900,578944719600,8564271,9860
7,삼양홀딩스,67800,68000,66900,900,2024-05-10,67000,580657573800,8564271,9896
8,삼양홀딩스,66900,68000,66900,-700,2024-05-09,67900,572949729900,8564271,18526
9,삼양홀딩스,67600,68800,67400,-800,2024-05-08,68300,578944719600,8564271,33518
10,삼양홀딩스,68400,69700,68200,-600,2024-05-07,69100,585796136400,8564271,10504
11,삼양홀딩스,69000,70200,69000,-400,2024-05-03,69500,590934699000,8564271,32615
12,삼양홀딩스,69400,69900,69200,-400,2024-05-02,69700,594360407400,8564271,2868
13,삼양홀딩스,69800,70000,69200,400,2024-04-30,69400,597786115800,8564271,6290
14,삼양홀딩스,69400,69400,68100,600,2024-04-29,68900,594360407400,8564271,5067
15,삼양홀딩스,68800,68900,67500,700,2024-04-26,68500,589221844800,8564271,4094
16,삼양홀딩스,68100,68900,68000,0,2024-04-25,68500,583226855100,8564271,5047
17,삼양홀딩스,68100,69000,68100,-400,2024-04-24,68700,583226855100,8564271,3313
18,삼양홀딩스,68500,69100,68100,0,2024-04-23,68500,586652563500,8564271,4381
19,삼양홀딩스,68500,68700,67400,1200,2024-04-22,67400,586652563500,8564271,2193
20,삼양홀딩스,67300,68300,66500,0,2024-04-19,67500,576375438300,8564271,7730
21,삼양홀딩스,67300,68100,67200,100,2024-04-18,67500,576375438300,8564271,3365
22,삼양홀딩스,67200,68600,66700,-800,2024-04-17,68600,575519011200,8564271,7251
23,삼양홀딩스,68000,68100,66800,800,2024-04-16,67200,582370428000,8564271,5033
24,삼양홀딩스,67200,67600,66800,-700,2024-04-15,67600,575519011200,8564271,5316
