id,itmsNm,clpr,hipr,lopr,vs,basDt,mkp,mrktTotAmt,lstgStCnt,trqu
1,삼양홀딩스우,56000,56300,56000,-300,2024-05-21,56300,17027248000,304058,163
2,삼양홀딩스우,56300,56400,56100,0,2024-05-20,56300,17118465400,304058,373
3,삼양홀딩스우,56300,56400,55900,300,2024-05-17,56400,17118465400,304058,5348
4,삼양홀딩스우,56000,56500,55800,200,2024-05-16,55800,17027248000,304058,740
5,삼양홀딩스우,55800,55900,55800,800,2024-05-14,55900,16966436400,304058,488
6,삼양홀딩스우,55000,56000,54600,0,2024-05-13,56000,16723190000,304058,256
7,삼양홀딩스우,55000,55100,54700,100,2024-05-10,55100,16723190000,304058,2177
8,삼양홀딩스우,54900,55200,54600,100,2024-05-09,55200,16692784200,304058,31
9,삼양홀딩스우,54800,54900,54800,-100,2024-05-08,54800,16662378400,304058,177
10,삼양홀딩스우,54900,54900,54600,100,2024-05-07,54800,16692784200,304058,289
11,삼양홀딩스우,54800,55000,54800,-100,2024-05-03,54900,16662378400,304058,57
12,삼양홀딩스우,54900,55200,54500,200,2024-05-02,55200,16692784200,304058,118
13,삼양홀딩스우,54700,55000,54700,-200,2024-04-30,54900,16631972600,304058,424
14,삼양홀딩스우,54900,54900,54900,0,2024-04-29,54900,16692784200,304058,71
15,삼양홀딩스우,54900,55700,54700,0,2024-04-26,55700,16692784200,304058,173
16,삼양홀딩스우,54900,54900,54500,400,2024-04-25,54900,16692784200,304058,308
17,삼양홀딩스우,54500,54500,54200,300,2024-04-24,54500,16571161000,304058,155
18,삼양홀딩스우,54200,54400,53900,0,2024-04-23,54400,16479943600,304058,148
19,삼양홀딩스우,54200,54200,53600,0,2024-04-22,54200,16479943600,304058,165
20,삼양홀딩스우,54200,54200,53300,400,2024-04-19,53800,16479943600,304058,236
21,삼양홀딩스우,53800,54500,53800,-700,2024-04-18,54500,16358320400,304058,555
22,삼양홀딩스우,54500,54800,54100,-100,2024-04-17,54800,16571161000,304058,35
23,삼양홀딩스우,54600,54900,54000,-300,2024-04-16,54900,16601566800,304058,645
24,삼양홀딩스우,54900,54900,54400,300,2024-04-15,54500,16692784200,304058,64
