id,itmsNm,clpr,hipr,lopr,vs,basDt,mkp,mrktTotAmt,lstgStCnt,trqu
1,삼일제약,8790,10500,8770,-210,2024-05-21,9050,183460194930,20871467,3759547
2,삼일제약,9000,9270,8940,-250,2024-05-20,9230,187843203000,20871467,252435
3,삼일제약,9250,9260,8880,80,2024-05-17,9120,193061069750,20871467,295043
4,삼일제약,9170,9450,9010,-230,2024-05-16,9400,191391352390,20871467,378411
5,삼일제약,9400,9470,9180,230,2024-05-14,9190,196191789800,20871467,268506
6,삼일제약,9170,9340,9070,-60,2024-05-13,9230,191391352390,20871467,233957
7,삼일제약,9230,9450,9100,30,2024-05-10,9250,192643640410,20871467,300254
8,삼일제약,9200,9290,8980,130,2024-05-09,8990,192017496400,20871467,268546
9,삼일제약,9070,9100,8650,290,2024-05-08,8760,180346573920,19883856,301311
10,삼일제약,8780,9050,8530,-270,2024-05-07,9010,174580255680,19883856,1068274
11,삼일제약,9050,9360,9010,-180,2024-05-03,9250,179948896800,19883856,225202
12,삼일제약,9230,9360,9090,0,2024-05-02,9300,183527990880,19883856,140117
13,삼일제약,9230,9610,9210,-130,2024-04-30,9460,183527990880,19883856,184158
14,삼일제약,9360,9700,9210,190,2024-04-29,9330,186112892160,19883856,404481
15,삼일제약,9170,9330,9110,-90,2024-04-26,9160,181621698580,19806074,145631
16,삼일제약,9260,9310,9000,-90,2024-04-25,9260,183404245240,19806074,249331
17,삼일제약,9350,9440,9180,100,2024-04-24,9250,185186791900,19806074,302610
18,삼일제약,9250,9470,9200,-30,2024-04-23,9440,183206184500,19806074,186612
19,삼일제약,9280,9700,9120,80,2024-04-22,9250,183800366720,19806074,307378
20,삼일제약,9200,9770,9080,-560,2024-04-19,9770,182215880800,19806074,536414
21,삼일제약,9760,9990,9670,20,2024-04-18,9700,193307282240,19806074,267502
22,삼일제약,9740,10150,9600,-130,2024-04-17,9880,192911160760,19806074,256780
23,삼일제약,9870,10250,9830,-460,2024-04-16,10200,195136996530,19770719,344310
24,삼일제약,10330,10790,10250,-620,2024-04-15,10700,204231527270,19770719,342818
