id,itmsNm,clpr,hipr,lopr,vs,basDt,mkp,mrktTotAmt,lstgStCnt,trqu
1,삼천당제약,115500,116300,112600,1900,2024-05-21,114500,2709338016000,23457472,511763
2,삼천당제약,113600,114900,110400,1300,2024-05-20,111300,2664768819200,23457472,549316
3,삼천당제약,112300,116800,105500,1300,2024-05-17,107200,2634274105600,23457472,1317598
4,삼천당제약,111000,118000,110500,-700,2024-05-16,113300,2603779392000,23457472,948662
5,삼천당제약,111700,114700,111500,-100,2024-05-14,111900,2620199622400,23457472,383561
6,삼천당제약,111800,117600,108400,-2300,2024-05-13,116000,2622545369600,23457472,684283
7,삼천당제약,114100,116700,110900,2500,2024-05-10,112200,2676497555200,23457472,578144
8,삼천당제약,111600,115300,110900,-400,2024-05-09,112000,2617853875200,23457472,522539
9,삼천당제약,112000,117100,108800,-5000,2024-05-08,117100,2627236864000,23457472,884500
10,삼천당제약,117000,120800,114400,400,2024-05-07,119700,2744524224000,23457472,653702
11,삼천당제약,116600,121100,111000,4100,2024-05-03,111800,2735141235200,23457472,1511501
12,삼천당제약,112500,114300,103100,7900,2024-05-02,104300,2638965600000,23457472,1420146
13,삼천당제약,104600,107000,103600,-1000,2024-04-30,104700,2453651571200,23457472,380874
14,삼천당제약,105600,108600,103400,-1000,2024-04-29,107200,2477109043200,23457472,480793
15,삼천당제약,106600,110500,105200,1900,2024-04-26,107100,2500566515200,23457472,860094
16,삼천당제약,104700,109200,103300,-3800,2024-04-25,107500,2455997318400,23457472,610537
17,삼천당제약,108500,110800,100200,6800,2024-04-24,102100,2545135712000,23457472,1157709
18,삼천당제약,101700,103400,99300,1500,2024-04-23,100600,2385624902400,23457472,597164
19,삼천당제약,100200,106900,99800,-2500,2024-04-22,105100,2350438694400,23457472,906728
20,삼천당제약,102700,105200,98400,-1200,2024-04-19,102900,2409082374400,23457472,926519
21,삼천당제약,103900,108600,95400,8500,2024-04-18,95500,2437231340800,23457472,1728395
22,삼천당제약,95400,98800,95400,-1700,2024-04-17,97800,2237842828800,23457472,543316
23,삼천당제약,97100,100400,96100,-5600,2024-04-16,100000,2277720531200,23457472,951180
24,삼천당제약,102700,106900,101500,-3100,2024-04-15,104600,2409082374400,23457472,667073
