id,itmsNm,clpr,hipr,lopr,vs,basDt,mkp,mrktTotAmt,lstgStCnt,trqu
1,삼화페인트,8920,9100,8650,-270,2024-05-21,9090,242654943480,27203469,2780674
2,삼화페인트,9190,9990,8600,-580,2024-05-20,9850,249999880110,27203469,8718937
3,삼화페인트,9770,9770,7340,2250,2024-05-17,7530,265777892130,27203469,20054125
4,삼화페인트,7520,7890,7250,270,2024-05-16,7250,204570086880,27203469,1148834
5,삼화페인트,7250,7300,7130,70,2024-05-14,7150,197225150250,27203469,115881
6,삼화페인트,7180,7440,7150,-220,2024-05-13,7400,195320907420,27203469,247234
7,삼화페인트,7400,7600,7380,-100,2024-05-10,7480,201305670600,27203469,139055
8,삼화페인트,7500,7650,7450,-60,2024-05-09,7560,204026017500,27203469,166383
9,삼화페인트,7560,7700,7390,-140,2024-05-08,7630,205658225640,27203469,238848
10,삼화페인트,7700,7770,7540,-20,2024-05-07,7740,209466711300,27203469,229617
11,삼화페인트,7720,7950,7650,-170,2024-05-03,7930,210010780680,27203469,154912
12,삼화페인트,7890,7890,7710,10,2024-05-02,7790,214635370410,27203469,162196
13,삼화페인트,7880,7940,7700,70,2024-04-30,7810,214363335720,27203469,241860
14,삼화페인트,7810,7890,7460,300,2024-04-29,7460,212459092890,27203469,313261
15,삼화페인트,7510,7770,7510,-230,2024-04-26,7770,204298052190,27203469,208066
16,삼화페인트,7740,7820,7380,220,2024-04-25,7520,210554850060,27203469,303560
17,삼화페인트,7520,7560,7400,170,2024-04-24,7420,204570086880,27203469,162602
18,삼화페인트,7350,7570,7320,-100,2024-04-23,7460,199945497150,27203469,143806
19,삼화페인트,7450,7540,7320,100,2024-04-22,7350,202665844050,27203469,120963
20,삼화페인트,7350,7660,7340,-310,2024-04-19,7660,199945497150,27203469,202933
21,삼화페인트,7660,7670,7400,180,2024-04-18,7450,208378572540,27203469,144633
22,삼화페인트,7480,7780,7400,-60,2024-04-17,7610,203481948120,27203469,236022
23,삼화페인트,7540,7640,7290,30,2024-04-16,7480,205114156260,27203469,205861
24,삼화페인트,7510,7590,7390,-150,2024-04-15,7500,204298052190,27203469,196895
