id,itmsNm,clpr,hipr,lopr,vs,basDt,mkp,mrktTotAmt,lstgStCnt,trqu
1,상상인증권,662,665,656,-2,2024-05-21,665,71719173440,108337120,81152
2,상상인증권,664,671,649,5,2024-05-20,662,71935847680,108337120,95582
3,상상인증권,659,678,659,-17,2024-05-17,673,71394162080,108337120,156855
4,상상인증권,676,689,675,-5,2024-05-16,681,73235893120,108337120,53961
5,상상인증권,681,683,670,8,2024-05-14,670,73777578720,108337120,36929
6,상상인증권,673,678,669,-3,2024-05-13,674,72910881760,108337120,54860
7,상상인증권,676,685,675,-2,2024-05-10,675,73235893120,108337120,59200
8,상상인증권,678,700,671,1,2024-05-09,676,73452567360,108337120,57995
9,상상인증권,677,682,671,7,2024-05-08,671,73344230240,108337120,37726
10,상상인증권,670,687,659,9,2024-05-07,662,72585870400,108337120,64382
11,상상인증권,661,677,658,-16,2024-05-03,677,71610836320,108337120,172473
12,상상인증권,677,677,666,3,2024-05-02,673,73344230240,108337120,74714
13,상상인증권,674,680,673,-2,2024-04-30,677,73019218880,108337120,31789
14,상상인증권,676,678,669,2,2024-04-29,672,73235893120,108337120,53442
15,상상인증권,674,751,674,-3,2024-04-26,678,73019218880,108337120,780773
16,상상인증권,677,686,676,-7,2024-04-25,684,73344230240,108337120,75064
17,상상인증권,684,693,679,-4,2024-04-24,688,74102590080,108337120,110107
18,상상인증권,688,704,631,-12,2024-04-23,701,74535938560,108337120,414342
19,상상인증권,700,705,696,2,2024-04-22,698,75835984000,108337120,37591
20,상상인증권,698,706,690,3,2024-04-19,696,75619309760,108337120,32176
21,상상인증권,695,700,687,5,2024-04-18,691,75294298400,108337120,159954
22,상상인증권,690,699,687,0,2024-04-17,690,74752612800,108337120,28160
23,상상인증권,690,707,689,-10,2024-04-16,702,74752612800,108337120,187110
24,상상인증권,700,709,695,-9,2024-04-15,709,75835984000,108337120,121908
