id,itmsNm,clpr,hipr,lopr,vs,basDt,mkp,mrktTotAmt,lstgStCnt,trqu
1,성창기업지주,1941,1942,1915,3,2024-05-21,1937,135387855600,69751600,83797
2,성창기업지주,1938,1950,1938,-1,2024-05-20,1940,135178600800,69751600,15338
3,성창기업지주,1939,1941,1926,-1,2024-05-17,1940,135248352400,69751600,24836
4,성창기업지주,1940,1947,1928,12,2024-05-16,1934,135318104000,69751600,18962
5,성창기업지주,1928,1939,1915,0,2024-05-14,1915,134481084800,69751600,34516
6,성창기업지주,1928,1951,1928,-23,2024-05-13,1950,134481084800,69751600,40415
7,성창기업지주,1951,1967,1943,-15,2024-05-10,1967,136085371600,69751600,40780
8,성창기업지주,1966,1971,1958,2,2024-05-09,1963,137131645600,69751600,20981
9,성창기업지주,1964,1980,1951,-21,2024-05-08,1961,136992142400,69751600,86734
10,성창기업지주,1985,1990,1947,10,2024-05-07,1976,138456926000,69751600,55032
11,성창기업지주,1975,1993,1965,-4,2024-05-03,1968,137759410000,69751600,24147
12,성창기업지주,1979,1996,1940,-14,2024-05-02,1993,138038416400,69751600,25563
13,성창기업지주,1993,2005,1945,43,2024-04-30,1945,139014938800,69751600,98309
14,성창기업지주,1950,1954,1908,44,2024-04-29,1908,136015620000,69751600,58714
15,성창기업지주,1906,1906,1892,2,2024-04-26,1905,132946549600,69751600,30735
16,성창기업지주,1904,1907,1890,-1,2024-04-25,1905,132807046400,69751600,18537
17,성창기업지주,1905,1905,1888,18,2024-04-24,1888,132876798000,69751600,29546
18,성창기업지주,1887,1915,1887,-16,2024-04-23,1905,131621269200,69751600,35049
19,성창기업지주,1903,1903,1885,1,2024-04-22,1900,132737294800,69751600,47203
20,성창기업지주,1902,1918,1875,-7,2024-04-19,1918,132667543200,69751600,54242
21,성창기업지주,1909,1911,1885,5,2024-04-18,1885,133155804400,69751600,33798
22,성창기업지주,1904,1910,1887,4,2024-04-17,1899,132807046400,69751600,30564
23,성창기업지주,1900,1922,1875,-20,2024-04-16,1921,132528040000,69751600,304008
24,성창기업지주,1920,1960,1900,-48,2024-04-15,1960,133923072000,69751600,138844
