id,itmsNm,clpr,hipr,lopr,vs,basDt,mkp,mrktTotAmt,lstgStCnt,trqu
1,세아베스틸지주,23300,24050,23200,-550,2024-05-21,23950,835587372700,35862119,126452
2,세아베스틸지주,23850,24850,23800,50,2024-05-20,23900,855311538150,35862119,81697
3,세아베스틸지주,23800,24500,23250,-750,2024-05-17,24350,853518432200,35862119,199240
4,세아베스틸지주,24550,25700,23200,700,2024-05-16,24050,880415021450,35862119,472213
5,세아베스틸지주,23850,23950,22200,1800,2024-05-14,22300,855311538150,35862119,411115
6,세아베스틸지주,22050,22300,21900,0,2024-05-13,22100,790759723950,35862119,50004
7,세아베스틸지주,22050,22750,22000,100,2024-05-10,22200,790759723950,35862119,75756
8,세아베스틸지주,21950,22550,21900,-500,2024-05-09,22550,787173512050,35862119,68842
9,세아베스틸지주,22450,22650,21900,200,2024-05-08,22400,805104571550,35862119,80235
10,세아베스틸지주,22250,22650,22200,-200,2024-05-07,22450,797932147750,35862119,83472
11,세아베스틸지주,22450,22850,21400,1100,2024-05-03,21650,805104571550,35862119,255935
12,세아베스틸지주,21350,22000,21250,-850,2024-05-02,21950,765656240650,35862119,94385
13,세아베스틸지주,22200,22250,21800,0,2024-04-30,22000,796139041800,35862119,70189
14,세아베스틸지주,22200,22200,21300,900,2024-04-29,21400,796139041800,35862119,97369
15,세아베스틸지주,21300,21800,21250,-350,2024-04-26,21500,763863134700,35862119,74228
16,세아베스틸지주,21650,21700,20800,550,2024-04-25,20900,776414876350,35862119,97850
17,세아베스틸지주,21100,21400,20900,-50,2024-04-24,21400,756690710900,35862119,48395
18,세아베스틸지주,21150,21250,20800,300,2024-04-23,20850,758483816850,35862119,59226
19,세아베스틸지주,20850,21000,20600,300,2024-04-22,20750,747725181150,35862119,54828
20,세아베스틸지주,20550,20550,19990,100,2024-04-19,20450,736966545450,35862119,107115
21,세아베스틸지주,20450,21300,20450,100,2024-04-18,20450,733380333550,35862119,150978
22,세아베스틸지주,20350,21050,20350,-600,2024-04-17,20800,729794121650,35862119,126679
23,세아베스틸지주,20950,21450,20800,-550,2024-04-16,21250,751311393050,35862119,98113
24,세아베스틸지주,21500,21800,21350,-300,2024-04-15,21600,771035558500,35862119,40120
