id,itmsNm,clpr,hipr,lopr,vs,basDt,mkp,mrktTotAmt,lstgStCnt,trqu
1,신라섬유,1320,1354,1320,-34,2024-05-21,1354,32046352800,24277540,19255
2,신라섬유,1354,1368,1348,-10,2024-05-20,1364,32871789160,24277540,24139
3,신라섬유,1364,1365,1336,28,2024-05-17,1341,33114564560,24277540,34267
4,신라섬유,1336,1357,1320,-4,2024-05-16,1352,32434793440,24277540,20641
5,신라섬유,1340,1343,1329,10,2024-05-14,1330,32531903600,24277540,30456
6,신라섬유,1330,1355,1321,-14,2024-05-13,1344,32289128200,24277540,19433
7,신라섬유,1344,1356,1333,1,2024-05-10,1333,32629013760,24277540,27099
8,신라섬유,1343,1358,1331,-5,2024-05-09,1358,32604736220,24277540,21207
9,신라섬유,1348,1369,1341,-6,2024-05-08,1354,32726123920,24277540,18770
10,신라섬유,1354,1369,1338,-7,2024-05-07,1354,32871789160,24277540,20864
11,신라섬유,1361,1367,1338,25,2024-05-03,1347,33041731940,24277540,16639
12,신라섬유,1336,1339,1330,4,2024-05-02,1336,32434793440,24277540,21309
13,신라섬유,1332,1338,1319,7,2024-04-30,1325,32337683280,24277540,14806
14,신라섬유,1325,1325,1314,-5,2024-04-29,1315,32167740500,24277540,18269
15,신라섬유,1330,1339,1301,-2,2024-04-26,1339,32289128200,24277540,38659
16,신라섬유,1332,1338,1316,3,2024-04-25,1330,32337683280,24277540,15152
17,신라섬유,1329,1339,1321,-2,2024-04-24,1325,32264850660,24277540,23404
18,신라섬유,1331,1350,1330,-19,2024-04-23,1350,32313405740,24277540,32526
19,신라섬유,1350,1364,1338,-14,2024-04-22,1364,32774679000,24277540,27084
20,신라섬유,1364,1373,1330,7,2024-04-19,1337,33114564560,24277540,34787
21,신라섬유,1357,1365,1333,6,2024-04-18,1352,32944621780,24277540,19126
22,신라섬유,1351,1396,1350,-60,2024-04-17,1350,32798956540,24277540,106967
23,신라섬유,1411,1479,1407,-44,2024-04-16,1479,34255608940,24277540,23801
24,신라섬유,1455,1545,1455,-35,2024-04-15,1494,35323820700,24277540,92942
