id,itmsNm,clpr,hipr,lopr,vs,basDt,mkp,mrktTotAmt,lstgStCnt,trqu
1,영풍,411000,411000,404500,2000,2024-05-21,408000,757078440000,1842040,1201
2,영풍,409000,413000,405000,0,2024-05-20,409500,753394360000,1842040,1012
3,영풍,409000,412000,405000,500,2024-05-17,412000,753394360000,1842040,587
4,영풍,408500,416000,405500,-2000,2024-05-16,414500,752473340000,1842040,1841
5,영풍,410500,412000,404000,6500,2024-05-14,408000,756157420000,1842040,782
6,영풍,404000,412500,404000,-2000,2024-05-13,412000,744184160000,1842040,902
7,영풍,406000,414000,406000,-2500,2024-05-10,410500,747868240000,1842040,1241
8,영풍,408500,416500,403000,-4000,2024-05-09,416500,752473340000,1842040,1374
9,영풍,412500,413500,407000,4500,2024-05-08,412000,759841500000,1842040,670
10,영풍,408000,409000,400000,6000,2024-05-07,408500,751552320000,1842040,1672
11,영풍,402000,407000,401000,-2000,2024-05-03,407000,740500080000,1842040,746
12,영풍,404000,409000,402000,-5500,2024-05-02,409000,744184160000,1842040,956
13,영풍,409500,409500,399500,500,2024-04-30,407500,754315380000,1842040,1404
14,영풍,409000,409000,393500,13000,2024-04-29,393500,753394360000,1842040,2385
15,영풍,396000,396500,388500,7500,2024-04-26,389000,729447840000,1842040,920
16,영풍,388500,394500,386500,-3500,2024-04-25,392000,715632540000,1842040,944
17,영풍,392000,396500,391500,0,2024-04-24,393000,722079680000,1842040,725
18,영풍,392000,395500,387500,-1000,2024-04-23,392000,722079680000,1842040,902
19,영풍,393000,393000,385000,11000,2024-04-22,385500,723921720000,1842040,1171
20,영풍,382000,392500,380500,-10500,2024-04-19,392500,703659280000,1842040,2716
21,영풍,392500,400000,389500,1000,2024-04-18,389500,723000700000,1842040,1376
22,영풍,391500,406500,389500,-11000,2024-04-17,403000,721158660000,1842040,4170
23,영풍,402500,420000,400500,-18000,2024-04-16,420000,741421100000,1842040,4307
24,영풍,420500,442000,419000,-23000,2024-04-15,442000,774577820000,1842040,3801
