id,itmsNm,clpr,hipr,lopr,vs,basDt,mkp,mrktTotAmt,lstgStCnt,trqu
1,오가닉티코스메틱,102,104,99,3,2024-05-21,99,25016875062,245263481,9344485
2,오가닉티코스메틱,99,101,98,-2,2024-05-20,100,24281084619,245263481,4947177
3,오가닉티코스메틱,101,104,101,-3,2024-05-17,103,24771611581,245263481,2438387
4,오가닉티코스메틱,104,105,101,3,2024-05-16,102,25507402024,245263481,5448439
5,오가닉티코스메틱,101,103,101,-2,2024-05-14,103,24771611581,245263481,2608877
6,오가닉티코스메틱,103,105,103,0,2024-05-13,103,25262138543,245263481,2776577
7,오가닉티코스메틱,103,106,101,1,2024-05-10,102,25262138543,245263481,7280258
8,오가닉티코스메틱,102,104,101,-2,2024-05-09,104,25016875062,245263481,3786523
9,오가닉티코스메틱,104,106,102,-1,2024-05-08,105,25507402024,245263481,5027843
10,오가닉티코스메틱,105,109,103,1,2024-05-07,104,25752665505,245263481,7565134
11,오가닉티코스메틱,104,105,101,3,2024-05-03,101,25507402024,245263481,6023921
12,오가닉티코스메틱,101,106,101,-4,2024-05-02,105,24771611581,245263481,7415484
13,오가닉티코스메틱,105,111,103,1,2024-04-30,104,25752665505,245263481,20557647
14,오가닉티코스메틱,104,104,100,3,2024-04-29,102,25507402024,245263481,8494354
15,오가닉티코스메틱,101,103,99,2,2024-04-26,100,24771611581,245263481,8045258
16,오가닉티코스메틱,99,105,99,-4,2024-04-25,103,24281084619,245263481,7601666
17,오가닉티코스메틱,103,106,101,-2,2024-04-24,105,25262138543,245263481,12039243
18,오가닉티코스메틱,105,113,104,-2,2024-04-23,109,25752665505,245263481,21749587
19,오가닉티코스메틱,107,114,98,7,2024-04-22,99,26243192467,245263481,34379655
20,오가닉티코스메틱,100,112,98,-7,2024-04-19,105,24526348100,245263481,31439325
21,오가닉티코스메틱,107,138,104,0,2024-04-18,131,26243192467,245263481,117249566
22,오가닉티코스메틱,107,107,95,24,2024-04-17,107,26243192467,245263481,76045428
23,오가닉티코스메틱,83,84,80,1,2024-04-16,83,20356868923,245263481,5972970
24,오가닉티코스메틱,82,86,81,-4,2024-04-15,85,20111605442,245263481,4651152
