id,itmsNm,clpr,hipr,lopr,vs,basDt,mkp,mrktTotAmt,lstgStCnt,trqu
1,윙입푸드,2405,2710,2305,-90,2024-05-21,2535,115376094340,47973428,9934965
2,윙입푸드,2495,2495,1960,575,2024-05-20,1985,119693702860,47973428,24103238
3,윙입푸드,1920,2730,1874,-690,2024-05-17,2485,92108981760,47973428,15516996
4,윙입푸드,2610,2640,1949,555,2024-05-16,1983,125210647080,47973428,17266749
5,윙입푸드,2055,2180,2005,-135,2024-05-14,2180,98585394540,47973428,3037322
6,윙입푸드,2190,2375,2075,110,2024-05-13,2160,105061807320,47973428,11228655
7,윙입푸드,2080,2240,1706,340,2024-05-10,1725,99784730240,47973428,19858012
8,윙입푸드,1740,1745,1530,117,2024-05-09,1626,83473764720,47973428,2989984
9,윙입푸드,1623,1722,1617,-86,2024-05-08,1704,77860873644,47973428,1725696
10,윙입푸드,1709,1791,1600,102,2024-05-07,1600,81986588452,47973428,3896927
11,윙입푸드,1607,1694,1592,-77,2024-05-03,1684,77093298796,47973428,1126633
12,윙입푸드,1684,1743,1664,-42,2024-05-02,1699,80787252752,47973428,953135
13,윙입푸드,1726,1736,1650,36,2024-04-30,1670,82802136728,47973428,1344917
14,윙입푸드,1690,1708,1610,87,2024-04-29,1613,81075093320,47973428,1626283
15,윙입푸드,1603,1675,1590,-79,2024-04-26,1675,76901405084,47973428,1911756
16,윙입푸드,1682,1731,1639,-17,2024-04-25,1665,80691305896,47973428,1737242
17,윙입푸드,1699,1790,1671,-29,2024-04-24,1706,81506854172,47973428,5015416
18,윙입푸드,1728,1929,1579,169,2024-04-23,1600,82898083584,47973428,28897239
19,윙입푸드,1559,1691,1538,22,2024-04-22,1541,74790574252,47973428,2272763
20,윙입푸드,1537,1620,1493,-53,2024-04-19,1587,73735158836,47973428,961631
21,윙입푸드,1590,1660,1455,53,2024-04-18,1540,76277750520,47973428,1441329
22,윙입푸드,1537,1635,1537,-71,2024-04-17,1608,73735158836,47973428,905657
23,윙입푸드,1608,1706,1565,-64,2024-04-16,1668,77141272224,47973428,1476542
24,윙입푸드,1672,1721,1495,85,2024-04-15,1560,80211571616,47973428,3271098
