id,itmsNm,clpr,hipr,lopr,vs,basDt,mkp,mrktTotAmt,lstgStCnt,trqu
1,유니온,5610,5770,5590,-30,2024-05-21,5720,87581182590,15611619,362620
2,유니온,5640,5740,5620,-130,2024-05-20,5700,88049531160,15611619,423085
3,유니온,5770,6010,5650,-60,2024-05-17,5830,90079041630,15611619,895478
4,유니온,5830,5900,5700,-90,2024-05-16,5780,91015738770,15611619,745566
5,유니온,5920,5930,5600,320,2024-05-14,5700,92420784480,15611619,1133656
6,유니온,5600,5750,5550,0,2024-05-13,5730,87425066400,15611619,554174
7,유니온,5600,5620,5430,120,2024-05-10,5490,87425066400,15611619,262157
8,유니온,5480,5560,5480,-30,2024-05-09,5510,85551672120,15611619,111963
9,유니온,5510,5510,5430,50,2024-05-08,5460,86020020690,15611619,72218
10,유니온,5460,5550,5400,-60,2024-05-07,5500,85239439740,15611619,159378
11,유니온,5520,5530,5450,70,2024-05-03,5450,86176136880,15611619,88915
12,유니온,5450,5500,5410,-10,2024-05-02,5430,85083323550,15611619,70264
13,유니온,5460,5530,5440,-40,2024-04-30,5450,85239439740,15611619,113658
14,유니온,5500,5500,5320,170,2024-04-29,5330,85863904500,15611619,166826
15,유니온,5330,5480,5320,-120,2024-04-26,5440,83209929270,15611619,144939
16,유니온,5450,5570,5440,-40,2024-04-25,5520,85083323550,15611619,121828
17,유니온,5490,5520,5420,30,2024-04-24,5460,85707788310,15611619,128900
18,유니온,5460,5540,5400,-30,2024-04-23,5540,85239439740,15611619,177681
19,유니온,5490,5620,5480,-270,2024-04-22,5600,85707788310,15611619,421284
20,유니온,5760,5760,5460,170,2024-04-19,5630,89922925440,15611619,1256671
21,유니온,5590,5770,5400,330,2024-04-18,5590,87268950210,15611619,1385132
22,유니온,5260,5350,5200,10,2024-04-17,5200,82117115940,15611619,121432
23,유니온,5250,5440,5210,-220,2024-04-16,5390,81960999750,15611619,182187
24,유니온,5470,5480,5320,40,2024-04-15,5340,85395555930,15611619,250055
